date_iso;date_fr;open;high;low;close;volume
2006-07-26;26/07/2006;128.72;128.72;128.72;128.72;0
2006-07-27;27/07/2006;128.74;128.74;128.74;128.74;0
2006-07-28;28/07/2006;128.61;128.61;128.61;128.61;0
2006-07-31;31/07/2006;128.83;128.83;128.83;128.83;0
2006-08-01;01/08/2006;129.27;129.27;129.27;129.27;0
2006-08-02;02/08/2006;129.41;129.41;129.41;129.41;0
2006-08-03;03/08/2006;129.11;129.11;129.11;129.11;0
2006-08-04;04/08/2006;128.98;128.98;128.98;128.98;0
2006-08-08;08/08/2006;128.98;128.98;128.98;128.98;0
2006-08-09;09/08/2006;129.19;129.19;129.19;129.19;0
2006-08-10;10/08/2006;129.39;129.39;129.39;129.39;0
2006-08-11;11/08/2006;129.58;129.58;129.58;129.58;0
2006-08-14;14/08/2006;129.63;129.63;129.63;129.63;0
2006-08-16;16/08/2006;129.63;129.63;129.63;129.63;0
2006-08-17;17/08/2006;129.21;129.21;129.21;129.21;0
2006-08-18;18/08/2006;129.87;129.87;129.87;129.87;0
2006-08-21;21/08/2006;129.89;129.89;129.89;129.89;0
2006-08-22;22/08/2006;129.98;129.98;129.98;129.98;0
2006-08-23;23/08/2006;130.06;130.06;130.06;130.06;0
2006-08-24;24/08/2006;130.04;130.04;130.04;130.04;0
2006-08-25;25/08/2006;134.84;134.84;134.84;134.84;0
2006-08-28;28/08/2006;134.93;134.93;134.93;134.93;0
2006-08-29;29/08/2006;134.93;134.93;134.93;134.93;0
2006-08-30;30/08/2006;134.71;134.71;134.71;134.71;0
2006-08-31;31/08/2006;135.46;135.46;135.46;135.46;0
2006-09-01;01/09/2006;135.03;135.03;135.03;135.03;0
2006-09-04;04/09/2006;135.02;135.02;135.02;135.02;0
2006-09-05;05/09/2006;135.05;135.05;135.05;135.05;0
2006-09-06;06/09/2006;134.21;134.21;134.21;134.21;0
2006-09-07;07/09/2006;134.3;134.3;134.3;134.3;0
2006-09-08;08/09/2006;134.31;134.31;134.31;134.31;0
2006-09-11;11/09/2006;134.35;134.35;134.35;134.35;0
2006-09-12;12/09/2006;133.99;133.99;133.99;133.99;0
2006-09-13;13/09/2006;141.51;141.51;141.51;141.51;0
2006-09-14;14/09/2006;141.53;141.53;141.53;141.53;0
2006-09-15;15/09/2006;141.64;141.64;141.64;141.64;0
2006-09-18;18/09/2006;155.11;155.11;155.11;155.11;0
2006-09-19;19/09/2006;160.11;160.11;160.11;160.11;0
2006-09-20;20/09/2006;159.97;159.97;159.97;159.97;0
2006-09-21;21/09/2006;171.47;171.47;171.47;171.47;0
2006-09-22;22/09/2006;178.01;178.01;178.01;178.01;0
2006-09-25;25/09/2006;171;171;171;171;0
2006-09-26;26/09/2006;164.5;164.5;164.5;164.5;0
2006-09-27;27/09/2006;164.5;164.5;164.5;164.5;0
2006-09-28;28/09/2006;164.5;164.5;164.5;164.5;0
2006-09-29;29/09/2006;147.83;147.83;147.83;147.83;0
2006-10-02;02/10/2006;147.81;147.81;147.81;147.81;0
2006-10-03;03/10/2006;147.8;147.8;147.8;147.8;0
2006-10-04;04/10/2006;134.8;134.8;134.8;134.8;0
2006-10-05;05/10/2006;131.15;131.15;131.15;131.15;0
2006-10-06;06/10/2006;127.66;127.66;127.66;127.66;0
2006-10-09;09/10/2006;124.48;124.48;124.48;124.48;0
2006-10-10;10/10/2006;121.24;121.24;121.24;121.24;0
2006-10-11;11/10/2006;123.89;123.89;123.89;123.89;0
2006-10-12;12/10/2006;124.86;124.86;124.86;124.86;0
2006-10-13;13/10/2006;125.92;125.92;125.92;125.92;0
2006-10-16;16/10/2006;125.34;125.34;125.34;125.34;0
2006-10-17;17/10/2006;122.2;122.2;122.2;122.2;0
2006-10-18;18/10/2006;125.9;125.9;125.9;125.9;0
2006-10-20;20/10/2006;125.55;125.55;125.55;125.55;0
2006-10-24;24/10/2006;124.88;124.88;124.88;124.88;0
2006-10-25;25/10/2006;124.88;124.88;124.88;124.88;0
