date_iso;date_fr;open;high;low;close;volume
2023-01-01;01/01/2023;100;100;100;100;0
2023-01-02;02/01/2023;100;100.54;100;100.54;0
2023-01-03;03/01/2023;100.07;100.07;100.07;100.07;0
2023-01-04;04/01/2023;100.08;100.08;100.08;100.08;0
2023-01-05;05/01/2023;100.17;100.17;100.17;100.17;0
2023-01-06;06/01/2023;97.55;97.55;97.55;97.55;0
2023-01-09;09/01/2023;98.2;98.2;98.2;98.2;0
2023-01-10;10/01/2023;97.69;97.69;97.69;97.69;0
2023-01-11;11/01/2023;97.7;97.7;97.7;97.7;0
2023-01-12;12/01/2023;98.94;98.94;98.94;98.94;0
2023-01-13;13/01/2023;98;98;98;98;0
2023-01-16;16/01/2023;98.04;98.04;98.04;98.04;0
2023-01-17;17/01/2023;99.44;99.44;99.44;99.44;0
2023-01-18;18/01/2023;99.67;99.67;99.67;99.67;0
2023-01-19;19/01/2023;99.63;99.63;99.63;99.63;0
2023-01-20;20/01/2023;100.18;100.18;100.18;100.18;0
2023-01-23;23/01/2023;100.1;100.1;100.1;100.1;0
2023-01-24;24/01/2023;100.43;100.43;100.43;100.43;0
2023-01-25;25/01/2023;100.63;100.63;100.63;100.63;0
2023-01-26;26/01/2023;100.95;100.95;100.95;100.95;0
2023-01-27;27/01/2023;100.45;100.45;100.45;100.45;0
2023-01-30;30/01/2023;101.81;101.81;101.81;101.81;0
2023-01-31;31/01/2023;101.28;101.28;101.28;101.28;0
2023-02-01;01/02/2023;101.28;101.28;101.28;101.28;0
2023-02-02;02/02/2023;101.51;101.51;101.51;101.51;0
2023-02-03;03/02/2023;101;101;101;101;0
2023-02-06;06/02/2023;100.92;100.92;100.92;100.92;0
2023-02-07;07/02/2023;100.67;100.67;100.67;100.67;0
2023-02-08;08/02/2023;99.95;99.95;99.95;99.95;0
2023-02-09;09/02/2023;101.57;101.57;101.57;101.57;0
2023-02-10;10/02/2023;101.8;101.8;101.8;101.8;0
2023-02-13;13/02/2023;103.58;103.58;103.58;103.58;0
2023-02-14;14/02/2023;104.21;104.21;104.21;104.21;0
2023-02-15;15/02/2023;105.71;105.71;105.71;105.71;0
2023-02-16;16/02/2023;106.29;106.29;106.29;106.29;0
2023-02-17;17/02/2023;105.72;105.72;105.72;105.72;0
2023-02-20;20/02/2023;105.52;105.52;105.52;105.52;0
2023-02-21;21/02/2023;106.77;106.77;106.77;106.77;0
2023-02-22;22/02/2023;105.5;105.5;105.5;105.5;0
2023-02-23;23/02/2023;105.04;105.04;105.04;105.04;0
2023-02-24;24/02/2023;106.26;106.26;106.26;106.26;0
2023-02-27;27/02/2023;106.33;106.33;106.33;106.33;0
2023-02-28;28/02/2023;106.66;106.66;106.66;106.66;0
