source;transaction;type_bien;titre;prix_fcfa;surface_m2;prix_m2_fcfa;chambres;quartier;sous_quartier;standing;url;scraped_at
jiji;achat;appartement;3chbre Appartement dans Cocody à Vendre;30000000;180;166667;3;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/3chbre-appartement-dans-cocody-a-vendre-yXY9V8fsF4Fd1CI0kTz49R7x.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;3chbre Duplex dans Ismaël Coulibaly, Cocody à Vendre;1500000000;600;2500000;3;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/3chbre-duplex-dans-ismael-coulibaly-cocody-a-vendre-C5U4i7YU7eFw4O4hlVypLrDs.html;2026-05-02T00:28:16+00:00
jiji;achat;appartement;Furnished 3chbre Appartement dans Ismaël Coulibaly, Cocody à Vendre;55000000;96;572917;3;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/furnished-3chbre-appartement-dans-ismael-coulibaly-cocody-a-vendre-l0STWktB5qdv5NPYS4jqAD7F.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;6chbre Duplex dans Zié Multi-Service, Cocody à Vendre;110000000;280;392857;6;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/6chbre-duplex-dans-zie-multi-service-cocody-a-vendre-a41Pc8Fyq5cbfWDVP5uYvhNN.html;2026-05-02T00:28:16+00:00
jiji;achat;appartement;20chbre Blocs d'appartements dans Zié Multi-Service, Le Plateau;6000000000;2040;2941176;20;Plateau;;;https://jiji.co.ci/le-plateau/houses-apartments-for-sale/20chbre-blocs-dappartements-dans-zie-multi-service-le-plateau-q0h6Y5oxRtXUdXIBMjiwhc2l.html;2026-05-02T00:28:16+00:00
jiji;achat;appartement;3chbre Appartement-terrasse dans Ismaël Coulibaly, Cocody à Vendre;35000000;300;116667;3;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/3chbre-appartement-terrasse-dans-ismael-coulibaly-cocody-a-vendre-sgamPJiMdk9kmc6CBqM0mG3Y.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;3chbre Duplex dans Gabonza, Yopougon à Vendre;50000000;300;166667;3;Yopougon;;;https://jiji.co.ci/yopougon/houses-apartments-for-sale/3chbre-duplex-dans-gabonza-yopougon-a-vendre-mmhniaTQC6NNpSisYcSt5dMH.html;2026-05-02T00:28:16+00:00
jiji;achat;appartement;2chbre Blocs d'appartements dans Cocody à Vendre;35000000;180;194444;2;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/2chbre-blocs-dappartements-dans-cocody-a-vendre-jTEhRbgPuqWZJZV7tfoKfNSv.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;Furnished 8chbre Duplex dans Ismael Coulibaly, Cocody à Vendre;65000000;2000;32500;8;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/furnished-8chbre-duplex-dans-ismael-coulibaly-cocody-a-vendre-swjKZ4l5ZZMZgAGs9YENKK6e.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;6chbre Duplex dans Ismaël Coulibaly, Cocody à Vendre;120000000;200;600000;6;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/6chbre-duplex-dans-ismael-coulibaly-cocody-a-vendre-13uyehvtGj3pk1QzjCcW35Mb.html;2026-05-02T00:28:16+00:00
jiji;achat;villa;6chbre Duplex dans Ismaël Coulibaly, Cocody à Vendre;65000000;3000;21667;6;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-sale/6chbre-duplex-dans-ismael-coulibaly-cocody-a-vendre-8uxW1QH871r4kuzL6CdECMsb.html;2026-05-02T00:28:16+00:00
