source;transaction;type_bien;titre;prix_fcfa;surface_m2;prix_m2_fcfa;chambres;quartier;sous_quartier;standing;url;scraped_at
jiji;location;appartement;Meublé 1chbre Appartement dans Mt Location, Cocody à Louer;15000;20;750;1;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/meuble-1chbre-appartement-dans-mt-location-cocody-a-louer-uCwPp3BAxWhnobjowPB6kNy9.html;2026-05-02T00:28:44+00:00
jiji;location;villa;5chbre Duplex dans Ismaël Coulibaly, Cocody à Louer;1200000;400;3000;5;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/5chbre-duplex-dans-ismael-coulibaly-cocody-a-louer-cE8QiyoVHtRdxtdEv4C6dEsN.html;2026-05-02T00:28:44+00:00
jiji;location;villa;4chbre Duplex dans Francis Gweh, Cocody à Louer;1500000;400;3750;4;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/4chbre-duplex-dans-francis-gweh-cocody-a-louer-bw35VwCuJRavMvZ5o55oGooi.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;3chbre Appartement dans Cocody à Louer;75000;150;500;3;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/3chbre-appartement-dans-cocody-a-louer-1skBGMQa0MnpX5ICyXqzrKlc.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;3chbre Appartement dans Francis Gweh, Cocody à Louer;1500000;150;10000;3;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/3chbre-appartement-dans-francis-gweh-cocody-a-louer-nlaXb2yC0Mn2PZp0KxUYoifi.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;2chbre Appartement dans Francis Gweh, Cocody à Louer;600000;120;5000;2;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/2chbre-appartement-dans-francis-gweh-cocody-a-louer-kkANFpO3V9yXlEKjlybZpO37.html;2026-05-02T00:28:44+00:00
jiji;location;villa;3chbre Duplex dans Francis Gweh, Cocody à Louer;1500000;250;6000;3;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/3chbre-duplex-dans-francis-gweh-cocody-a-louer-B5dAgPXBl39Zq6baAfeSJrK0.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;Meublé 1chbre Appartement dans Mt Service Location, Cocody à Louer;15000;200;75;1;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/meuble-1chbre-appartement-dans-mt-service-location-cocody-a-louer-kjwuWEuUHGUPVaAyYXRVQ8JZ.html;2026-05-02T00:28:44+00:00
jiji;location;villa;7chbre Duplex dans Ismaël Coulibaly, Cocody à Louer;1300000;562;2313;7;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/7chbre-duplex-dans-ismael-coulibaly-cocody-a-louer-lnMN7KupGv5WOuY6lCgvqOX6.html;2026-05-02T00:28:44+00:00
jiji;location;villa;3chbre Duplex dans Francis Gweh, Cocody à Louer;500000;200;2500;3;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/3chbre-duplex-dans-francis-gweh-cocody-a-louer-jUcuTwtlEap4SorrUztf8XFr.html;2026-05-02T00:28:44+00:00
jiji;location;studio;Furnished 1chbre Studio dans Francis Gweh, Cocody à Louer;600000;45;13333;1;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/furnished-1chbre-studio-dans-francis-gweh-cocody-a-louer-rCfPAEK0V5JttGu6rG7UgbEg.html;2026-05-02T00:28:44+00:00
jiji;location;villa;5chbre Duplex dans Ismael Coulibaly, Cocody à Louer;600000;3000;200;5;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/5chbre-duplex-dans-ismael-coulibaly-cocody-a-louer-HcXxCkshPPD4MWlsbLwm10Z.html;2026-05-02T00:28:44+00:00
jiji;location;villa;4chbre Duplex dans Ismaël Coulibaly, Cocody à Louer;1000000;3000;333;4;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/4chbre-duplex-dans-ismael-coulibaly-cocody-a-louer-z4iGqeFCchjLiqKnkKUcUvzK.html;2026-05-02T00:28:44+00:00
jiji;location;villa;5chbre Duplex dans Cocody à Louer;900000;4000;225;5;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/5chbre-duplex-dans-cocody-a-louer-hHqYYliZyCGgo5pM0zsdnhnA.html;2026-05-02T00:28:44+00:00
jiji;location;villa;5chbre Duplex dans Francis Gweh, Cocody à Louer;700000;200;3500;5;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/5chbre-duplex-dans-francis-gweh-cocody-a-louer-kWDXyUncl1Qj83jmZ0luzNUW.html;2026-05-02T00:28:44+00:00
jiji;location;villa;3chbre Duplex dans Bingerville à Louer;350000;167;2096;3;Bingerville;;;https://jiji.co.ci/bingerville/houses-apartments-for-rent/3chbre-duplex-dans-bingerville-a-louer-17TzXdgbnxhZr2EXdka8qKr6.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;2chbre Appartement dans Francis Gweh, Cocody à Louer;400000;80;5000;2;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/2chbre-appartement-dans-francis-gweh-cocody-a-louer-neijJB45aYLa8RdaESpVN9dq.html;2026-05-02T00:28:44+00:00
jiji;location;villa;Furnished 5chbre Duplex dans Ismael Coulibaly, Cocody à Louer;900000;200;4500;5;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/furnished-5chbre-duplex-dans-ismael-coulibaly-cocody-a-louer-CrSX1p1PHkjQeLB8JKSoL7V7.html;2026-05-02T00:28:44+00:00
jiji;location;villa;5chbre Duplex dans Francis Gweh, Cocody à Louer;1500000;300;5000;5;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/5chbre-duplex-dans-francis-gweh-cocody-a-louer-1tPOwvdUV24ipstPpjEQhwy.html;2026-05-02T00:28:44+00:00
jiji;location;villa;4chbre Duplex dans Francis Gweh, Cocody à Louer;800000;250;3200;4;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/4chbre-duplex-dans-francis-gweh-cocody-a-louer-pGdo9Ez2uOwVS8r1jB2wRtgp.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;3chbre Appartement dans Cocody à Louer;400000;95;4211;3;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/3chbre-appartement-dans-cocody-a-louer-iAI7ExgqDRGQf5cHN3c3qF7L.html;2026-05-02T00:28:44+00:00
jiji;location;villa;Furnished 5chbre Duplex dans Ismaël Coulibaly, Cocody à Louer;700000000;500;1400000;5;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/furnished-5chbre-duplex-dans-ismael-coulibaly-cocody-a-louer-55fetwj7w2F0S8KPhYc2J3aW.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;Furnished 1chbre Appartement dans Mt Service Location, Cocody à Louer;15000;200;75;1;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/furnished-1chbre-appartement-dans-mt-service-location-cocody-a-louer-fegW39jqiLkgARcs176Wbwel.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;2chbre Appartement dans Lascoco Maison, Cocody à Louer;600000;130;4615;2;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/2chbre-appartement-dans-lascoco-maison-cocody-a-louer-BNvqJwDhOnWH9oXR9lhTorb1.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;Furnished 1chbre Appartement dans Mt Services Location, Yopougon;20000;200;100;1;Yopougon;;;https://jiji.co.ci/yopougon/houses-apartments-for-rent/furnished-1chbre-appartement-dans-mt-services-location-yopougon-r1RQp3wTBtciD9PqbhDBSUfT.html;2026-05-02T00:28:44+00:00
jiji;location;villa;4chbre Villa dans Francis Gweh, Cocody à Louer;1300000;300;4333;4;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/4chbre-villa-dans-francis-gweh-cocody-a-louer-4UC7gSBWoUnjOvaT2g1zVyIf.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;Furnished 1chbre Appartement dans Francis Gweh, Cocody à Louer;1100000;60;18333;1;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/furnished-1chbre-appartement-dans-francis-gweh-cocody-a-louer-wh9VLutalyZJPYYxyAl01vkc.html;2026-05-02T00:28:44+00:00
jiji;location;villa;8chbre Duplex dans Ismaël Coulibaly, Cocody à Louer;800000;200;4000;8;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/8chbre-duplex-dans-ismael-coulibaly-cocody-a-louer-w3q3AguWM3s5HSoAfq0k8rCg.html;2026-05-02T00:28:44+00:00
jiji;location;villa;4chbre Duplex dans Ismael Coulibaly, Cocody à Louer;110000000;300;366667;4;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/4chbre-duplex-dans-ismael-coulibaly-cocody-a-louer-Cw8cNifGQEMrw6ADiealTCFr.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;2chbre Appartement dans Lascoco Maison, Cocody à Louer;350000;150;2333;2;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/2chbre-appartement-dans-lascoco-maison-cocody-a-louer-cRD7h7QOTZ79VMQVW7UMJ54V.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;Furnished 1chbre Appartement dans Francis Gweh, Cocody à Louer;1200000;80;15000;1;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/furnished-1chbre-appartement-dans-francis-gweh-cocody-a-louer-iKCwV5ewDCBkEQldekdr8NDw.html;2026-05-02T00:28:44+00:00
jiji;location;villa;4chbre Duplex dans Francis Gweh, Cocody à Louer;700000;200;3500;4;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/4chbre-duplex-dans-francis-gweh-cocody-a-louer-pb3wp7ZPArZGIV0I9D64ryKr.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;4chbre Appartement dans Francis Gweh, Cocody à Louer;750000;100;7500;4;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/4chbre-appartement-dans-francis-gweh-cocody-a-louer-yJfOXOJK6D82DvjMOpgH8B7l.html;2026-05-02T00:28:44+00:00
jiji;location;villa;4chbre Duplex dans Icm, Cocody à Louer;500000;35;14286;4;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/4chbre-duplex-dans-icm-cocody-a-louer-mWY0K490lof6qCC2CY31i6lQ.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;2chbre Appartement dans Francis Gweh, Cocody à Louer;525000;150;3500;2;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/2chbre-appartement-dans-francis-gweh-cocody-a-louer-uAopFtBCVzXvh1NJHCaP7qgS.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;2chbre Appartement dans Francis Gweh, Cocody à Louer;450000;100;4500;2;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/2chbre-appartement-dans-francis-gweh-cocody-a-louer-xpLJ0sIh2VKpk6D8wIWxQ1f7.html;2026-05-02T00:28:44+00:00
jiji;location;villa;5chbre Duplex dans Francis Gweh, Cocody à Louer;900000;200;4500;5;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/5chbre-duplex-dans-francis-gweh-cocody-a-louer-fXTwo2eNnQ1onUcjJcFXUr2K.html;2026-05-02T00:28:44+00:00
jiji;location;villa;4chbre Duplex dans Francis Gweh, Cocody à Louer;900000;250;3600;4;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/4chbre-duplex-dans-francis-gweh-cocody-a-louer-hpsAxzKVC77cE4hIGU2NMmh0.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;2chbre Appartement dans Francis Gweh, Cocody à Louer;500000;150;3333;2;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/2chbre-appartement-dans-francis-gweh-cocody-a-louer-hs6mySAzTSTyTscaRnOc7CK3.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;2chbre Appartement dans Lascoco Maison, Cocody à Louer;550000;150;3667;2;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/2chbre-appartement-dans-lascoco-maison-cocody-a-louer-u1MZM23EzRsOWHf3kivaSjGG.html;2026-05-02T00:28:44+00:00
jiji;location;villa;4chbre Duplex dans Francis Gweh, Cocody à Louer;2500000;350;7143;4;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/4chbre-duplex-dans-francis-gweh-cocody-a-louer-a07eGpOViPMSuDhJ2dd4jikc.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;3chbre Appartement dans Cocody à Louer;400000;100;4000;3;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/3chbre-appartement-dans-cocody-a-louer-csEjlwUDszdsjcLJ5nXjgzvr.html;2026-05-02T00:28:44+00:00
jiji;location;villa;8chbre Duplex dans Ismael Coulibaly, Cocody à Louer;850000;200;4250;8;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/8chbre-duplex-dans-ismael-coulibaly-cocody-a-louer-2uRE8wjnyj3YmaVVyxuQbcEN.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;Meublé 1chbre Appartement-terrasse dans Résidence Fama /, Koumassi;25000;150;167;1;Koumassi;;;https://jiji.co.ci/koumassi/houses-apartments-for-rent/meuble-1chbre-appartement-terrasse-dans-residence-fama-koumassi-3RN72LjntDPLJH4ZdHPCX2M7.html;2026-05-02T00:28:44+00:00
jiji;location;villa;Furnished 4chbre Duplex dans Francis Gweh, Cocody à Louer;5500000;600;9167;4;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/furnished-4chbre-duplex-dans-francis-gweh-cocody-a-louer-fpOvfWTFqQ0k5qy6MaLaeS1d.html;2026-05-02T00:28:44+00:00
jiji;location;villa;Furnished 3chbre Villa dans Francis Gweh, Cocody à Louer;2000000;350;5714;3;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/furnished-3chbre-villa-dans-francis-gweh-cocody-a-louer-ndjKb0MpinSZiK2lZL4k5lDB.html;2026-05-02T00:28:44+00:00
jiji;location;villa;4chbre Duplex dans Cocody à Louer;3000000;600;5000;4;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/4chbre-duplex-dans-cocody-a-louer-sK3yju6uyugkcaTcgGYVm0qu.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;3chbre Appartement dans Lascoco Maison, Cocody à Louer;1200000;175;6857;3;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/3chbre-appartement-dans-lascoco-maison-cocody-a-louer-5XV2EAArVSgNSDPJh9ozUdNG.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;Meublé 1chbre Appartement dans Mt Services, Yopougon à Louer;15000;200;75;1;Yopougon;;;https://jiji.co.ci/yopougon/houses-apartments-for-rent/meuble-1chbre-appartement-dans-mt-services-yopougon-a-louer-95raS7vtFApTqWXlK73YggMP.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;2chbre Appartement dans Cocody à Louer;375000;95;3947;2;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/2chbre-appartement-dans-cocody-a-louer-tWLUk2N6V6ywjMIfmeW8WKjc.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;1chbre Appartement dans Francis Gweh, Cocody à Louer;250000;60;4167;1;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/1chbre-appartement-dans-francis-gweh-cocody-a-louer-oARet2bJvSwnFXZE6mOMP8li.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;2chbre Appartement dans Francis Gweh, Cocody à Louer;500000;150;3333;2;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/2chbre-appartement-dans-francis-gweh-cocody-a-louer-vaMHQvd0Pib1rACpw8llfGa8.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;Furnished 3chbre Appartement dans Francis Gweh, Cocody à Louer;1500000;130;11538;3;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/furnished-3chbre-appartement-dans-francis-gweh-cocody-a-louer-w2ilTLvvDlBhMtMT6fJtYTaH.html;2026-05-02T00:28:44+00:00
jiji;location;villa;4chbre Duplex dans Cocody à Louer;700000;350;2000;4;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/4chbre-duplex-dans-cocody-a-louer-gtEesuayxKEgsYtKEVKF42Je.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;2chbre Appartement dans Lascoco Maison, Cocody à Louer;300000;25;12000;2;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/2chbre-appartement-dans-lascoco-maison-cocody-a-louer-tQOmusifNbuu4LOlumB5qiSO.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;4chbre Appartement dans Lascoco Maison, Cocody à Louer;850000;180;4722;4;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/4chbre-appartement-dans-lascoco-maison-cocody-a-louer-rXtYkRk3wgEpSb6DBxnEmqmF.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;2chbre Appartement dans Lascoco Maison, Cocody à Louer;350000;120;2917;2;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/2chbre-appartement-dans-lascoco-maison-cocody-a-louer-aTFxlokg6Nn87g6vm4KOMNBc.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;2chbre Appartement dans Lascoco Maison, Cocody à Louer;400000;120;3333;2;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/2chbre-appartement-dans-lascoco-maison-cocody-a-louer-w4w5khWdPl0Fz8LofNDyHd3R.html;2026-05-02T00:28:44+00:00
jiji;location;appartement;1chbre Appartement dans Cocody à Louer;300000;95;3158;1;Cocody;;;https://jiji.co.ci/cocody/houses-apartments-for-rent/1chbre-appartement-dans-cocody-a-louer-AU9i6UCp4J7SIs6DpwzfoHXC.html;2026-05-02T00:28:44+00:00
