code;date;nominalApres;source
FBOAD.O2;2025-05-20;8500;Notice d'emission FCTC BOAD DOLI-P 9,50% 2024-2029
FBOAD.O2;2025-11-20;7000;Notice d'emission FCTC BOAD DOLI-P 9,50% 2024-2029
FBOAD.O2;2026-05-20;5500;Notice d'emission FCTC BOAD DOLI-P 9,50% 2024-2029
FBOAD.O2;2026-11-20;4000;Notice d'emission FCTC BOAD DOLI-P 9,50% 2024-2029
FBOAD.O2;2027-05-20;3000;Notice d'emission FCTC BOAD DOLI-P 9,50% 2024-2029
FBOAD.O2;2027-11-22;2400;Notice d'emission FCTC BOAD DOLI-P 9,50% 2024-2029
FBOAD.O2;2028-05-22;1800;Notice d'emission FCTC BOAD DOLI-P 9,50% 2024-2029
FBOAD.O2;2028-11-20;1200;Notice d'emission FCTC BOAD DOLI-P 9,50% 2024-2029
FBOAD.O2;2029-05-21;600;Notice d'emission FCTC BOAD DOLI-P 9,50% 2024-2029
FBOAD.O2;2029-11-20;0;Notice d'emission FCTC BOAD DOLI-P 9,50% 2024-2029
FBOAD.O1;2023-09-20;9100;Notice d'emission FCTC BOAD DOLI-P 6,10% 2023-2030
FBOAD.O1;2024-03-20;8200;Notice d'emission FCTC BOAD DOLI-P 6,10% 2023-2030
FBOAD.O1;2024-09-20;7300;Notice d'emission FCTC BOAD DOLI-P 6,10% 2023-2030
FBOAD.O1;2025-03-20;6400;Notice d'emission FCTC BOAD DOLI-P 6,10% 2023-2030
FBOAD.O1;2025-09-22;5500;Notice d'emission FCTC BOAD DOLI-P 6,10% 2023-2030
FBOAD.O1;2026-03-20;4600;Notice d'emission FCTC BOAD DOLI-P 6,10% 2023-2030
FBOAD.O1;2026-09-21;3700;Notice d'emission FCTC BOAD DOLI-P 6,10% 2023-2030
FBOAD.O1;2027-03-22;2800;Notice d'emission FCTC BOAD DOLI-P 6,10% 2023-2030
FBOAD.O1;2027-09-20;1900;Notice d'emission FCTC BOAD DOLI-P 6,10% 2023-2030
FBOAD.O1;2028-03-20;1300;Notice d'emission FCTC BOAD DOLI-P 6,10% 2023-2030
FBOAD.O1;2028-09-20;700;Notice d'emission FCTC BOAD DOLI-P 6,10% 2023-2030
