code;isin;date;coursPrecedent;coursJour;coursReference;cleanPrice;couponCouru;dirtyPrice;volume;valeurTransigee
BABS.O1;SN0000003484;2026-01-02;10000;;10000;10000;122.58;10122.58;0;0
BIDC.O4;TG0000000934;2026-01-02;2500;;2500;2500;83.56;2583.56;0;0
BIDC.O5;TG0000001304;2026-01-02;10750;;10750;10750;152.55;10902.55;0;0
BIDC.O6;TG0000001585;2026-01-02;5370;;5370;5370;40.07;5410.07;0;0
BIDC.O7;TG0000001833;2026-01-02;7000;;7000;7000;27.16;7027.16;0;0
BIDC.O8;TG0000003011;2026-01-02;9900;;9900;9900;279.25;10179.25;0;0
CRRH.O10;TG0000002070;2026-01-02;10000;;10000;10000;251.96;10251.96;0;0
CRRH.O11;TG0000003326;2026-01-02;10000;;10000;10000;47.67;10047.67;0;0
CRRH.O5;;2026-01-02;10000;;10000;10000;286.91;10286.91;0;0
CRRH.O6;TG0000000801;2026-01-02;10000;;10000;10000;290.91;10290.91;0;0
CRRH.O7;TG0000000991;2026-01-02;3333;;3333;3333;25.2;3358.2;0;0
CRRH.O8;TG0000001213;2026-01-02;4000;;4000;4000;8.17;4008.17;0;0
CRRH.O9;TG0000001221;2026-01-02;5333;;5333;5333;10.64;5343.64;0;0
ECOC.O1;CI0000008439;2026-01-02;10000;;10000;10000;516.58;10516.58;0;0
EOM.O10;ML0000002120;2026-01-02;10000;;10000;10000;40.77;10040.77;0;0
EOM.O11;ML0000002369;2026-01-02;10000;;10000;10000;93.65;10093.65;0;0
EOM.O12;ML0000002542;2026-01-02;10000;;10000;10000;281.37;10281.37;0;0
EOM.O13;ML0000002930;2026-01-02;10000;;10000;10000;484.38;10484.38;0;0
EOM.O14;ML0000003193;2026-01-02;10000;;10000;10000;126.58;10126.58;0;0
EOM.O15;ML0000003318;2026-01-02;10000;;10000;10000;125.62;10125.62;0;0
EOM.O16;ML0000003326;2026-01-02;10000;;10000;10000;121.78;10121.78;0;0
EOM.O17;ML0000003573;2026-01-02;10000;;10000;10000;502.47;10502.47;0;0
EOM.O18;ML0000003581;2026-01-02;10000;;10000;10000;487.12;10487.12;0;0
EOM.O19;ML0000003870;2026-01-02;10000;;10000;10000;251.23;10251.23;0;0
EOM.O20;ML0000003888;2026-01-02;10000;;10000;10000;243.56;10243.56;0;0
EOM.O4;ML0000001197;2026-01-02;4000;;4000;4000;123.95;4123.95;0;0
EOM.O5;ML0000001312;2026-01-02;6000;;6000;6000;300.25;6300.25;0;0
EOM.O6;ML0000001544;2026-01-02;4000;;4000;4000;22.86;4022.86;0;0
EOM.O7;ML0000001668;2026-01-02;7500;;7500;7500;348.6;7848.6;0;0
EOM.O8;ML0000001932;2026-01-02;10000;;10000;10000;198.74;10198.74;0;0
EOM.O9;ML0000002112;2026-01-02;9800;;9800;9800;41.42;9841.42;0;0
EOS.O10;SN0000002403;2026-01-02;10000;;10000;10000;161.4;10161.4;0;0
EOS.O11;SN0000002411;2026-01-02;10000;;10000;10000;166.64;10166.64;0;0
EOS.O12;SN0000002726;2026-01-02;10000;;10000;10000;235.64;10235.64;0;0
EOS.O13;SN0000002734;2026-01-02;10000;;10000;10000;241.39;10241.39;0;0
EOS.O14;SN0000002742;2026-01-02;10000;;10000;10000;249.05;10249.05;0;0
EOS.O15;SN0000002916;2026-01-02;10000;;10000;10000;247.96;10247.96;0;0
EOS.O16;SN0000002924;2026-01-02;10000;;10000;10000;255.9;10255.9;0;0
EOS.O17;SN0000002932;2026-01-02;10000;;10000;10000;263.83;10263.83;0;0
EOS.O18;SN0000003922;2026-01-02;10000;;10000;10000;137.14;10137.14;0;0
EOS.O19;SN0000003930;2026-01-02;10000;;10000;10000;141.43;10141.43;0;0
EOS.O20;SN0000003948;2026-01-02;9700;;9700;9700;144.64;9844.64;0;0
EOS.O21;SN0000003955;2026-01-02;10700;;10700;10700;148.93;10848.93;0;0
EOS.O22;SN0000004037;2026-01-02;10000;;10000;10000;135.01;10135.01;0;0
EOS.O23;SN0000004045;2026-01-02;10000;;10000;10000;139.23;10139.23;0;0
EOS.O24;SN0000004052;2026-01-02;10000;;10000;10000;142.4;10142.4;0;0
EOS.O25;SN0000004060;2026-01-02;10000;;10000;10000;146.62;10146.62;0;0
EOS.O26;SN0000004268;2026-01-02;10000;;10000;10000;304.35;10304.35;0;0
EOS.O27;SN0000004276;2026-01-02;10000;;10000;10000;313.86;10313.86;0;0
EOS.O28;SN0000004284;2026-01-02;10000;;10000;10000;320.99;10320.99;0;0
EOS.O29;SN0000004292;2026-01-02;10000;;10000;10000;330.5;10330.5;0;0
EOS.O8;SN0000002239;2026-01-02;10000;;10000;10000;626.79;10626.79;0;0
EOS.O9;SN0000002395;2026-01-02;10535;;10535;10535;157.46;10692.46;0;0
FBOAD.O1;TG0000002237;2026-01-02;5500;;5500;5500;93.96;5593.96;0;0
FBOAD.O2;TG0000003128;2026-01-02;7000;;7000;7000;78.34;7078.34;0;0
FDFINBF.O1;BF0000002857;2026-01-02;7500;;7500;7500;58.14;7558.14;0;0
FDFINBF.O2;BF0000003574;2026-01-02;10000;;10000;10000;287.67;10287.67;0;0
FEPTC.O2;CI0000007183;2026-01-02;10000;;10000;10000;69.51;10069.51;0;0
FSNTS.O1;SN0000002965;2026-01-02;10750;;10750;10750;273.01;11023.01;0;0
FSNTS.O2;SN0000002973;2026-01-02;9950;;9950;9950;281.54;10231.54;0;0
NRMC.O1;CI0000008884;2026-01-02;10000;;10000;10000;251.11;10251.11;0;0
ORGT.O2;TG0000001726;2026-01-02;7200;;7200;7200;80.14;7280.14;0;0
PADS.O3;SN0000001454;2026-01-02;4000;;4000;4000;54.4;4054.4;0;0
PTRC.O1;CI0000005948;2026-01-02;12000;;12000;12000;32.95;12032.95;0;0
SCRC.O1;CI0000008637;2026-01-02;10000;;10000;10000;595.31;10595.31;0;0
SNTS.O2;SN0000001371;2026-01-02;3960;;3960;3960;113.83;4073.83;0;0
SUKSN.S2;SN0000000985;2026-01-02;10000;;10000;10000;266.67;10266.67;0;0
SUKTG.S1;TG0000000744;2026-01-02;10300;;10300;10300;283.5;10583.5;0;0
TPBF.O11;BF0000001537;2026-01-02;5002;;5002;5002;182.43;5184.43;0;0
TPBF.O12;BF0000001743;2026-01-02;9990;;9990;9990;177.76;10167.76;0;0
TPBF.O13;BF0000001867;2026-01-02;9998;;9998;9998;317.93;10315.93;0;0
TPBF.O14;BF0000002212;2026-01-02;9699;;9699;9699;214.06;9913.06;0;0
TPBF.O15;BF0000002287;2026-01-02;10000;;10000;10000;83.54;10083.54;0;0
TPBF.O16;BF0000002436;2026-01-02;10000;;10000;10000;286.96;10286.96;0;0
TPBF.O17;BF0000002709;2026-01-02;10000;;10000;10000;141.92;10141.92;0;0
TPBF.O18;BF0000002717;2026-01-02;9940;;9940;9940;146.43;10086.43;0;0
