isin;date;cleanPrice;dirtyPrice;volume;valeurTransigee
BF0000000745;2026-01-02;10750;10889.15;0;0
BF0000001271;2026-01-02;9700;9801.5;0;0
BF0000001362;2026-01-02;11500;11653.57;0;0
BF0000001537;2026-01-02;5002;5184.43;0;0
BF0000001743;2026-01-02;9990;10167.76;0;0
BF0000001867;2026-01-02;9998;10315.93;0;0
BF0000002212;2026-01-02;9699;9913.06;0;0
BF0000002287;2026-01-02;10000;10083.54;0;0
BF0000002436;2026-01-02;10000;10286.96;0;0
BF0000002709;2026-01-02;10000;10141.92;0;0
BF0000002717;2026-01-02;9940;10086.43;0;0
BF0000002857;2026-01-02;7500;7558.14;0;0
BF0000003061;2026-01-02;10000;10099.2;0;0
BF0000003079;2026-01-02;10000;10103.14;0;0
BF0000003350;2026-01-02;9999;10061.85;0;0
BF0000003368;2026-01-02;10000;10065.75;0;0
BF0000003574;2026-01-02;10000;10287.67;0;0
BJ0000001418;2026-01-02;10000;10231.51;0;0
BJ0000001665;2026-01-02;10000;10462.6;0;0
BJ0000001673;2026-01-02;10000;10492.04;0;0
BJ0000001764;2026-01-02;10200;10448.9;0;0
BJ0000001947;2026-01-02;10000;10460.68;0;0
BJ0000001954;2026-01-02;10000;10501.1;0;0
CI0000001822;2026-01-02;10000;10442.19;0;0
CI0000001889;2026-01-02;10000;10324.9;0;0
CI0000002119;2026-01-02;10000;10074.36;0;0
CI0000002317;2026-01-02;9700;9813.96;0;0
CI0000002648;2026-01-02;9200;9453.15;0;0
CI0000002663;2026-01-02;10000;10247.25;0;0
CI0000002911;2026-01-02;4900;5136.71;0;0
CI0000002952;2026-01-02;10230;10538.77;0;0
CI0000003059;2026-01-02;10000;10275.68;0;0
CI0000003117;2026-01-02;10000;10211.1;0;0
CI0000003125;2026-01-02;2000;2024.26;0;0
CI0000003174;2026-01-02;2050;2059.22;0;0
CI0000003380;2026-01-02;4000;4224.96;0;0
CI0000003422;2026-01-02;10000;10489.42;0;0
CI0000003430;2026-01-02;10000;10497.86;0;0
CI0000003471;2026-01-02;4000;4127.12;0;0
CI0000003489;2026-01-02;4100;4227.12;0;0
CI0000003497;2026-01-02;6375;6577.05;0;0
