code;valeurNominale;bocDate
BABS.O1;10000;2026-06-05
BIDC.O4;2500;2026-06-05
BIDC.O5;10000;2026-06-05
BIDC.O6;4000;2026-06-05
BIDC.O7;7000;2026-06-05
BIDC.O8;10000;2026-06-05
CRRH.O10;10000;2026-06-05
CRRH.O11;10000;2026-06-05
CRRH.O6;10000;2026-06-05
CRRH.O7;2917;2026-06-05
CRRH.O8;4167;2026-06-05
CRRH.O9;5333;2026-06-05
ECOC.O1;10000;2026-06-05
EOM.O10;10000;2026-06-05
EOM.O11;10000;2026-06-05
EOM.O12;10000;2026-06-05
EOM.O13;10000;2026-06-05
EOM.O14;10000;2026-06-05
EOM.O15;10000;2026-06-05
EOM.O16;10000;2026-06-05
EOM.O17;10000;2026-06-05
EOM.O18;10000;2026-06-05
EOM.O19;10000;2026-06-05
EOM.O20;10000;2026-06-05
EOM.O21;10000;2026-06-05
EOM.O22;10000;2026-06-05
EOM.O4;4000;2026-06-05
EOM.O5;4000;2026-06-05
EOM.O6;4000;2026-06-05
EOM.O7;6250;2026-06-05
EOM.O8;10000;2026-06-05
EOM.O9;10000;2026-06-05
EOS.O10;10000;2026-06-05
EOS.O11;10000;2026-06-05
EOS.O12;10000;2026-06-05
EOS.O13;10000;2026-06-05
EOS.O14;10000;2026-06-05
EOS.O15;10000;2026-06-05
EOS.O16;10000;2026-06-05
EOS.O17;10000;2026-06-05
EOS.O18;10000;2026-06-05
EOS.O19;10000;2026-06-05
EOS.O20;10000;2026-06-05
EOS.O21;10000;2026-06-05
EOS.O22;10000;2026-06-05
EOS.O23;10000;2026-06-05
EOS.O24;10000;2026-06-05
EOS.O25;10000;2026-06-05
EOS.O26;10000;2026-06-05
EOS.O27;10000;2026-06-05
EOS.O28;10000;2026-06-05
EOS.O29;10000;2026-06-05
EOS.O8;10000;2026-06-05
EOS.O9;10000;2026-06-05
FBOAD.O1;4600;2026-06-05
FBOAD.O2;5500;2026-06-05
FCAGS.O1;9286;2026-06-05
FCAGS.O2;9286;2026-06-05
FCAS.O1;6844;2026-06-05
FDFINBF.O1;6250;2026-06-05
FDFINBF.O2;10000;2026-06-05
FDFINBF.O3;12358;2026-06-05
FEPTC.O1;7500;2026-06-05
FEPTC.O2;9375;2026-06-05
FEPTC.O3;9615;2026-06-05
FEPTC.O4;10000;2026-06-05
FEPTC.O5;10000;2026-06-05
FEPTC.O6;10000;2026-06-05
FNSBB.O1;8800;2026-06-05
FNSBB.O2;8800;2026-06-05
FNSBC.O2;8095;2026-06-05
FNSBC.O3;9444;2026-06-05
FNSBC.O4;9565;2026-06-05
FNSBC.O5;9565;2026-06-05
FORBC.O1;8095;2026-06-05
FORBT.O1;1667;2026-06-05
FSNBBF.O1;10000;2026-06-05
FSNLC.O1;9500;2026-06-05
FSNLC.O2;9500;2026-06-05
FSNTS.O1;10000;2026-06-05
FSNTS.O2;10000;2026-06-05
FTIMC.O1;3750;2026-06-05
NRMC.O1;10000;2026-06-05
ORGT.O2;5000;2026-06-05
PADS.O3;3000;2026-06-05
PTRC.O1;10000;2026-06-05
SCRC.O1;10000;2026-06-05
SNTS.O2;3000;2026-06-05
SUKSN.S2;10000;2026-06-05
SUKTG.S1;10000;2026-06-05
TPBF.O10;3333;2026-06-05
TPBF.O11;4169;2026-06-05
TPBF.O12;10000;2026-06-05
TPBF.O13;10000;2026-06-05
TPBF.O14;10000;2026-06-05
TPBF.O15;10000;2026-06-05
TPBF.O16;10000;2026-06-05
TPBF.O17;10000;2026-06-05
TPBF.O18;10000;2026-06-05
TPBF.O19;10000;2026-06-05
TPBF.O20;10000;2026-06-05
TPBF.O21;10000;2026-06-05
TPBF.O22;10000;2026-06-05
TPBF.O23;10000;2026-06-05
TPBF.O24;10000;2026-06-05
TPBF.O25;10000;2026-06-05
TPBF.O4;10000;2026-06-05
TPBF.O8;10000;2026-06-05
TPBF.O9;10000;2026-06-05
TPBJ.O10;10000;2026-06-05
TPBJ.O3;10000;2026-06-05
TPBJ.O4;10000;2026-06-05
TPBJ.O5;10000;2026-06-05
TPBJ.O6;10000;2026-06-05
TPBJ.O7;10000;2026-06-05
TPBJ.O8;10000;2026-06-05
TPBJ.O9;10000;2026-06-05
TPCI.O100;10000;2026-06-05
TPCI.O21;10000;2026-06-05
TPCI.O22;10000;2026-06-05
TPCI.O23;10000;2026-06-05
TPCI.O24;10000;2026-06-05
TPCI.O28;10000;2026-06-05
TPCI.O29;10000;2026-06-05
TPCI.O31;10000;2026-06-05
TPCI.O32;10000;2026-06-05
TPCI.O34;3750;2026-06-05
TPCI.O35;10000;2026-06-05
TPCI.O36;10000;2026-06-05
TPCI.O37;2000;2026-06-05
TPCI.O38;2000;2026-06-05
TPCI.O39;2000;2026-06-05
TPCI.O40;2000;2026-06-05
TPCI.O41;10000;2026-06-05
TPCI.O42;10000;2026-06-05
TPCI.O43;10000;2026-06-05
TPCI.O44;10000;2026-06-05
TPCI.O45;4000;2026-06-05
TPCI.O46;6250;2026-06-05
TPCI.O47;4000;2026-06-05
TPCI.O48;4000;2026-06-05
TPCI.O49;6250;2026-06-05
TPCI.O50;6250;2026-06-05
TPCI.O51;4000;2026-06-05
TPCI.O52;6250;2026-06-05
TPCI.O53;4000;2026-06-05
TPCI.O54;6250;2026-06-05
TPCI.O55;4000;2026-06-05
TPCI.O56;6250;2026-06-05
TPCI.O57;4000;2026-06-05
TPCI.O58;4000;2026-06-05
TPCI.O59;6250;2026-06-05
TPCI.O60;10000;2026-06-05
TPCI.O61;10000;2026-06-05
TPCI.O62;6000;2026-06-05
TPCI.O63;7500;2026-06-05
TPCI.O64;6000;2026-06-05
TPCI.O65;7500;2026-06-05
TPCI.O66;7500;2026-06-05
TPCI.O67;10000;2026-06-05
TPCI.O68;10000;2026-06-05
TPCI.O69;10000;2026-06-05
TPCI.O70;10000;2026-06-05
TPCI.O71;10000;2026-06-05
TPCI.O72;8000;2026-06-05
TPCI.O73;8750;2026-06-05
TPCI.O74;8947;2026-06-05
TPCI.O75;10000;2026-06-05
TPCI.O76;10000;2026-06-05
TPCI.O77;10000;2026-06-05
TPCI.O78;10000;2026-06-05
TPCI.O79;8000;2026-06-05
TPCI.O80;10000;2026-06-05
TPCI.O81;10000;2026-06-05
TPCI.O82;10000;2026-06-05
TPCI.O83;10000;2026-06-05
TPCI.O84;10000;2026-06-05
TPCI.O85;10000;2026-06-05
TPCI.O86;10000;2026-06-05
TPCI.O87;10000;2026-06-05
TPCI.O88;10000;2026-06-05
TPCI.O89;10000;2026-06-05
TPCI.O90;10000;2026-06-05
TPCI.O91;10000;2026-06-05
TPCI.O92;10000;2026-06-05
TPCI.O93;10000;2026-06-05
