isin;code;name;issuer;issuerType;country;sector;currency;nominalValue;totalIssued;outstanding;couponRate;couponFrequency;issueDate;maturityDate;firstCouponDate;rating;ratingAgency;callable;callDate;greenBond;description;amortizationType;Titre/Nominal
ML0000002120;EOM.O10;ETAT DU MALI 6,20 % 2022-2029;Etat du Mali;Obligation d'Etat;ML;Etat;XOF;10000;52560000000;52560000000;6.20;1;09/12/2022;09/12/2029;09/12/2026;Caa2;Moody's;false;;false;Obligation du Tresor Public du Mali au taux de 6,20% sur la periode 2022-2029, emise pour le financement budgetaire.;ACD;N
ML0000002369;EOM.O11;ETAT DU MALI 6,40 % 2023-2030;Etat du Mali;Obligation d'Etat;ML;Etat;XOF;10000;1,20E+11;1,20E+11;6.40;1;07/04/2023;07/04/2030;07/04/2027;Caa2;Moody's;false;;false;Obligation du Tresor Public du Mali au taux de 6,40% sur la periode 2023-2030, emise pour le financement budgetaire.;ACD;N
ML0000002542;EOM.O12;ETAT DU MALI 6,50 % 2023-2030;Etat du Mali;Obligation d'Etat;ML;Etat;XOF;10000;1,00E+11;1,00E+11;6.50;1;28/07/2023;28/07/2030;28/07/2027;Caa2;Moody's;false;;false;Obligation du Tresor Public du Mali au taux de 6,50% sur la periode 2023-2030, emise pour le financement budgetaire.;ACD;T
ML0000002930;EOM.O13;ETAT DU MALI 6,50 % 2024-2034;Etat du Mali;Obligation d'Etat;ML;Etat;XOF;10000;80000000000;80000000000;6.50;1;05/04/2024;05/04/2034;05/04/2028;Caa2;Moody's;false;;false;Obligation du Tresor Public du Mali au taux de 6,50% sur la periode 2024-2034, emise pour le financement budgetaire.;ACD;N
ML0000003193;EOM.O14;ETAT DU MALI 3,00 % 2024-2031;Etat du Mali;Obligation d'Etat;ML;Etat;XOF;10000;50396000000;50396000000;3.00;1;01/08/2024;01/08/2031;01/08/2028;Caa2;Moody's;false;;false;Obligation du Tresor Public du Mali au taux de 3,00% sur la periode 2024-2031, emise pour le financement budgetaire.;ACD;N
ML0000003318;EOM.O15;ETAT DU MALI 6,55 % 2024-2031;Etat du Mali;Obligation d'Etat;ML;Etat;XOF;10000;50000000000;50000000000;6.55;1;24/10/2024;24/10/2031;24/10/2028;Caa2;Moody's;false;;false;Obligation du Tresor Public du Mali au taux de 6,55% sur la periode 2024-2031, emise pour le financement budgetaire.;ACD;N
ML0000003326;EOM.O16;ETAT DU MALI 6,35 % 2024-2029;Etat du Mali;Obligation d'Etat;ML;Etat;XOF;10000;30010000000;30010000000;6.35;1;24/10/2024;24/10/2029;24/10/2027;Caa2;Moody's;false;;false;Obligation du Tresor Public du Mali au taux de 6,35% sur la periode 2024-2029, emise pour le financement budgetaire.;ACD;N
ML0000003573;EOM.O17;ETAT DU MALI 6,55% 2025-2032;Etat du Mali;Obligation d'Etat;ML;Etat;XOF;10000;68900000000;68900000000;6.55;1;28/03/2025;28/03/2032;28/03/2029;Caa2;Moody's;false;;false;Obligation du Tresor Public du Mali au taux de 6,55% sur la periode 2025-2032, emise pour le financement budgetaire.;ACD;N
ML0000003581;EOM.O18;ETAT DU MALI 6,35% 2025-2030;Etat du Mali;Obligation d'Etat;ML;Etat;XOF;10000;32100000000;32100000000;6.35;1;28/03/2025;28/03/2030;28/03/2028;Caa2;Moody's;false;;false;Obligation du Tresor Public du Mali au taux de 6,35% sur la periode 2025-2030, emise pour le financement budgetaire.;ACD;N
ML0000003870;EOM.O19;ETAT DU MALI 6,55% 2025-2032;Etat du Mali;Obligation d'Etat;ML;Etat;XOF;10000;67447100000;67447100000;6.55;1;15/08/2025;15/08/2032;15/08/2029;Caa2;Moody's;false;;false;Obligation du Tresor Public du Mali au taux de 6,55% sur la periode 2025-2032, emise pour le financement budgetaire.;ACD;N
ML0000003888;EOM.O20;ETAT DU MALI 6,35% 2025-2030;Etat du Mali;Obligation d'Etat;ML;Etat;XOF;10000;32552900000;32552900000;6.35;1;15/08/2025;15/08/2030;15/08/2028;Caa2;Moody's;false;;false;Obligation du Tresor Public du Mali au taux de 6,35% sur la periode 2025-2030, emise pour le financement budgetaire.;ACD;N
ML0000001197;EOM.O4;ETAT DU MALI 6,50% 2019-2027;Etat du Mali;Obligation d'Etat;ML;Etat;XOF;4000;1,16E+11;46568404000;6.50;1;12/07/2019;12/07/2027;12/07/2023;Caa2;Moody's;false;;false;Obligation du Tresor Public du Mali au taux de 6,50% sur la periode 2019-2027, emise pour le financement budgetaire.;AC;N
ML0000001312;EOM.O5;ETAT DU MALI 6,50% 2020-2028;Etat du Mali;Obligation d'Etat;ML;Etat;XOF;4000;1,16E+11;46480000000;6.50;1;27/03/2020;27/03/2028;27/03/2024;Caa2;Moody's;false;;false;Obligation du Tresor Public du Mali au taux de 6,50% sur la periode 2020-2028, emise pour le financement budgetaire.;ACD;N
ML0000001544;EOM.O6;ETAT DU MALI 6,50% 2020-2027;Etat du Mali;Obligation d'Etat;ML;Etat;XOF;4000;1,10E+11;44000000000;6.50;1;30/11/2020;30/11/2027;30/11/2023;Caa2;Moody's;false;;false;Obligation du Tresor Public du Mali au taux de 6,50% sur la periode 2020-2027, emise pour le financement budgetaire.;AC;N
ML0000001668;EOM.O7;ETAT DU MALI 6.50% 2021-2031;Etat du Mali;Obligation d'Etat;ML;Etat;XOF;6250;1,50E+11;93750000000;6.50;1;16/04/2021;16/04/2031;16/04/2024;Caa2;Moody's;false;;false;Obligation du Tresor Public du Mali au taux de 6,50% sur la periode 2021-2031, emise pour le financement budgetaire.;AC;N
ML0000001932;EOM.O8;ETAT DU MALI 6,20 % 2022-2032;Etat du Mali;Obligation d'Etat;ML;Etat;XOF;10000;2,08E+11;2,08E+11;6.20;1;07/09/2022;07/09/2032;07/09/2026;Caa2;Moody's;false;;false;Obligation du Tresor Public du Mali au taux de 6,20% sur la periode 2022-2032, emise pour le financement budgetaire.;ACD;N
ML0000002112;EOM.O9;ETAT DU MALI 6,30% 2022-2032;Etat du Mali;Obligation d'Etat;ML;Etat;XOF;10000;70750000000;70750000000;6.30;1;09/12/2022;09/12/2032;09/12/2026;Caa2;Moody's;false;;false;Obligation du Tresor Public du Mali au taux de 6,30% sur la periode 2022-2032, emise pour le financement budgetaire.;ACD;N
SN0000002403;EOS.O10;ETAT DU SENEGAL 6,15 % 2023-2030;Etat du Sénégal;Obligation d'Etat;SN;Etat;XOF;10000;68991410000;55193128000;6.15;2;29/03/2023;29/03/2030;29/09/2025;Caa1;Moody's;false;;false;Obligation du Tresor Public du Senegal au taux de 6,15% sur la periode 2023-2030, emise pour le financement budgetaire.;ACD;T
SN0000002411;EOS.O11;ETAT DU SENEGAL 6,35 % 2023-2033;Etat du Sénégal;Obligation d'Etat;SN;Etat;XOF;10000;56623720000;49545755000;6.35;2;29/03/2023;29/03/2033;29/09/2025;Caa1;Moody's;false;;false;Obligation du Tresor Public du Senegal au taux de 6,35% sur la periode 2023-2033, emise pour le financement budgetaire.;ACD;T
SN0000002726;EOS.O12;ETAT DU SENEGAL 6,15 % 2023-2028;Etat du Sénégal;Obligation d'Etat;SN;Etat;XOF;10000;59461510000;37163443750;6.15;2;14/08/2023;14/08/2028;14/02/2025;Caa1;Moody's;false;;false;Obligation du Tresor Public du Senegal au taux de 6,15% sur la periode 2023-2028, emise pour le financement budgetaire.;ACD;T
SN0000002734;EOS.O13;ETAT DU SENEGAL 6,30 % 2023-2030;Etat du Sénégal;Obligation d'Etat;SN;Etat;XOF;10000;48550200000;43695180000;6.30;2;14/08/2023;14/08/2030;14/02/2026;Caa1;Moody's;false;;false;Obligation du Tresor Public du Senegal au taux de 6,30% sur la periode 2023-2030, emise pour le financement budgetaire.;ACD;T
SN0000002742;EOS.O14;ETAT DU SENEGAL 6,50 % 2023-2033;Etat du Sénégal;Obligation d'Etat;SN;Etat;XOF;10000;30254990000;28364053125;6.50;2;14/08/2023;14/08/2033;14/02/2026;Caa1;Moody's;false;;false;Obligation du Tresor Public du Senegal au taux de 6,50% sur la periode 2023-2033, emise pour le financement budgetaire.;ACD;T
SN0000002916;EOS.O15;ETAT DU SENEGAL 6,25 % 2024-2029;Etat du Sénégal;Obligation d'Etat;SN;Etat;XOF;10000;1,15E+11;86587365000;6.25;2;09/02/2024;09/02/2029;09/08/2025;Caa1;Moody's;false;;false;Obligation du Tresor Public du Senegal au taux de 6,25% sur la periode 2024-2029, emise pour le financement budgetaire.;ACD;T
SN0000002924;EOS.O16;ETAT DU SENEGAL 6,45 % 2024-2031;Etat du Sénégal;Obligation d'Etat;SN;Etat;XOF;10000;99515800000;99515800000;6.45;2;09/02/2024;09/02/2031;09/08/2026;Caa1;Moody's;false;;false;Obligation du Tresor Public du Senegal au taux de 6,45% sur la periode 2024-2031, emise pour le financement budgetaire.;ACD;T
SN0000002932;EOS.O17;ETAT DU SENEGAL 6,65 % 2024-2034;Etat du Sénégal;Obligation d'Etat;SN;Etat;XOF;10000;50674160000;50674160000;6.65;2;09/02/2024;09/02/2034;09/08/2026;Caa1;Moody's;false;;false;Obligation du Tresor Public du Senegal au taux de 6,65% sur la periode 2024-2034, emise pour le financement budgetaire.;ACD;T
SN0000003922;EOS.O18;ETAT DU SENEGAL 6,40 % 2025-2028;Etat du Sénégal;Obligation d'Etat;SN;Etat;XOF;10000;20000000000;20000000000;6.40;2;16/04/2025;16/04/2028;16/04/2028;Caa1;Moody's;false;;false;Obligation du Tresor Public du Senegal au taux de 6,40% sur la periode , emise pour le financement budgetaire.;IF;
SN0000003930;EOS.O19;ETAT DU SENEGAL 6,60 % 2025-2030;Etat du Sénégal;Obligation d'Etat;SN;Etat;XOF;10000;2,37E+11;2,13E+11;6.60;2;16/04/2025;31/12/2030;16/04/2026;Caa1;Moody's;false;;false;Obligation du Tresor Public du Senegal au taux de 6,60% sur la periode 2025-2030, emise pour le financement budgetaire.;ACD;T
SN0000003948;EOS.O20;ETAT DU SENEGAL 6,75 % 2025-2032;Etat du Sénégal;Obligation d'Etat;SN;Etat;XOF;10000;95003360000;95003360000;6.75;2;16/04/2025;16/04/2032;16/04/2027;Caa1;Moody's;false;;false;Obligation du Tresor Public du Senegal au taux de 6,75% sur la periode , emise pour le financement budgetaire.;ACD;N
