slug;rang;actionnaire;pct
3k-import-export;1;KAAFARANI ADNAN;51
3k-import-export;2;KAAFARANI HUSSEIN;24.5
3k-import-export;3;KAAFARANI SALAH;24.5
a-constant;1;CONSTANT DIDIER;100
abeille-beton-sa;1;ABEILLE CARRIERE;100
abeille-carriere;1;FD BV;100
abidjan-terminal;1;APM TERMINAL CI;49
abidjan-terminal;2;BOLLORE AFRICA LOGISTICS CI;30
abidjan-terminal;3;BOLLORE SA;21
absoft-work;1;BEN GELOUNE REDDA;35
aca;1;OYAK CIMENTO;100
acc-cote-d-ivoire-sas;1;EL MERHEBI OMAR;50
acc-cote-d-ivoire-sas;2;SKAF HALABY JIHAD;50
ademat-atelier-depannage;1;GENCI LTD;100
adingra-kouadio-faustin-station-total-8eme-tranc;1;ADINGRA KOUADIO FAUSTIN;100
adm-trading-cote-d-ivoire;1;ADM EUROPE BV;100
aeroport-international-d-abidjan;1;SEGAP;27.09
aeroport-international-d-abidjan;2;EGIS AIRPORT OPERATION;21.45
aeroport-international-d-abidjan;3;AFRIPAR;12.24
aeroport-international-d-abidjan;4;ETAT DE COTE D'IVOIRE;10
aeroport-international-d-abidjan;5;PARACT;6.85
aeroport-international-d-abidjan;6;BEDIE JEAN LUC;6.85
aeroport-international-d-abidjan;7;DE MESSE ZINSOU SIMPLICE;6.85
aeroport-international-d-abidjan;8;CCI COTE D'IVOIRE;4.53
aeroport-international-d-abidjan;9;ASECNA;2.27
aeroport-international-d-abidjan;10;PROPARCO;1.06
aeroport-international-d-abidjan;11;COULIBLAY ABDOULAYE;0.8
af-chem-sofaco;1;SFP;84
af-chem-sofaco;2;FEU FAYE JEAN PIERRE;15
af-chem-sofaco;3;TALON LIONEL;1
afcotrade;1;ANTHONY FORTEZ;80
afcotrade;2;MARCEL OUEGNIN;20
afri-pack;1;TANOS;45
afri-pack;2;DAHER RABIH;28
afri-pack;3;DAHER RAMEZ;27
africa-cargo-central;1;OMEIS WASSIM;50
africa-cargo-central;2;AKRARY JABER;25
africa-cargo-central;3;OMAIS RAMI;25
africa-company-trading;1;AKHDAR MAGED MOHAMED;100
africa-moov-international;1;ITISALAT AL-MAGHRIB SA;85
africa-moov-international;2;IVORIAN INVESTORS' GROUP;15
africa-sourcing-cote-d-ivoire;1;FOLLOROUX LOIC;100
africa-trailer-industrie;1;GROUPE COMET;99.53
africa-trailer-industrie;2;DRISS SAMI;0.24
africa-trailer-industrie;3;DRISS SLIM;0.24
africaine-de-garantie-et-de-cautionnement;1;L'AFRICAINE DES ASSURAN;30
africaine-de-garantie-et-de-cautionnement;2;SODJIEDO ATHANASE;24.03
africaine-de-garantie-et-de-cautionnement;3;CAISSE NATIONALE DE S�CURIT� SOCIALE (CNSS);20
africaine-de-garantie-et-de-cautionnement;4;L'AFRICAINE DES ASSURANCES;6.67
africaine-de-garantie-et-de-cautionnement;5;MONSIEUR AGOSSOU GUY L�ON KOSSI;5.37
africaine-de-garantie-et-de-cautionnement;6;SGI;3.33
africaine-de-garantie-et-de-cautionnement;7;MONSIEUR DE DRAVO HOUENOU COSME MICHEL AHMED;1.67
africaine-de-garantie-et-de-cautionnement;8;BSIC TRIPOLI;1.67
africaine-de-garantie-et-de-cautionnement;9;MONSIEUR ZOUNON ANTOINE TOSSA;1.6
africaine-de-garantie-et-de-cautionnement;10;ZINSOU ISIDORE;0.67
africaine-de-refrigeration-industrielle-et-de-climatisation;1;CONERGIES GROUP;75
africaine-de-refrigeration-industrielle-et-de-climatisation;2;IDRISSA SANANKOUA;25
african-distribution-company;1;NIANGADOU THIERNO MAMADOU;99
african-distribution-company;2;NIANGADOU MAMADOU;1
african-lease-togo;1;AFRICAN LEASE GROUP;58.71
african-lease-togo;2;PERSONNES PHYSIQUES NATIONALES;22.94
african-lease-togo;3;PERSONNES PHYSIQUES NATIONALES;22.94
african-lease-togo;4;CONSEIL NATIONAL DES CHARGEURS DU TOGO (CNCT);8.57
african-lease-togo;5;CAISSE NATIONALE DE S�CURIT� SOCIALE (CNSS);8.06
african-lease-togo;6;ZERED SARL U;1.71
african-petroleum;1;OMAIS RAMEZ;50
african-petroleum;2;SABRAOUI HAMZE;30
african-petroleum;3;FAWAZ IBRAHIM;20
africanfish;1;BLAL BACHIR;50
africanfish;2;FNAICHE IBRAHIM;50
afriland-first-bank-ci;1;AFRILAND FIRST GROUP;84.72
afriland-first-bank-ci;2;NOUTCHOGOUIN J.S;6.72
afriland-first-bank-ci;3;SM CAPITAL;6.46
