slug;annee;code;valeur
15-mcc-cote-d-ivoire-construct;2022;autonomie_financiere;1.05
15-mcc-cote-d-ivoire-construct;2024;autonomie_financiere;7.16
15-mcc-cote-d-ivoire-construct;2021;ca;6169
15-mcc-cote-d-ivoire-construct;2022;ca;6277
15-mcc-cote-d-ivoire-construct;2024;ca;392
15-mcc-cote-d-ivoire-construct;2022;capitaux_propres;36
15-mcc-cote-d-ivoire-construct;2024;capitaux_propres;69
15-mcc-cote-d-ivoire-construct;2022;charges_exploitation;-5981
15-mcc-cote-d-ivoire-construct;2024;charges_exploitation;248
15-mcc-cote-d-ivoire-construct;2022;croissance_ca;1.76
15-mcc-cote-d-ivoire-construct;2024;croissance_ca;-93.75
15-mcc-cote-d-ivoire-construct;2022;croissance_rn;119.55
15-mcc-cote-d-ivoire-construct;2024;croissance_rn;50
15-mcc-cote-d-ivoire-construct;2024;dette_nette;-281
15-mcc-cote-d-ivoire-construct;2022;ebit;55
15-mcc-cote-d-ivoire-construct;2024;ebit;40
15-mcc-cote-d-ivoire-construct;2022;ebitda;295
15-mcc-cote-d-ivoire-construct;2024;ebitda;144
15-mcc-cote-d-ivoire-construct;2024;levier_financier;-1.95
15-mcc-cote-d-ivoire-construct;2022;marge_exploitation;0.88
15-mcc-cote-d-ivoire-construct;2024;marge_exploitation;10.2
15-mcc-cote-d-ivoire-construct;2021;marge_nette;0.15
15-mcc-cote-d-ivoire-construct;2022;marge_nette;0.32
15-mcc-cote-d-ivoire-construct;2024;marge_nette;7.65
15-mcc-cote-d-ivoire-construct;2024;ratio_endettement_net;-407.25
15-mcc-cote-d-ivoire-construct;2021;resultat_net;9
15-mcc-cote-d-ivoire-construct;2022;resultat_net;20
15-mcc-cote-d-ivoire-construct;2024;resultat_net;30
15-mcc-cote-d-ivoire-construct;2022;roa;0.58
15-mcc-cote-d-ivoire-construct;2024;roa;3.11
15-mcc-cote-d-ivoire-construct;2022;roe;55.56
15-mcc-cote-d-ivoire-construct;2024;roe;43.48
15-mcc-cote-d-ivoire-construct;2022;total_bilan;3435
15-mcc-cote-d-ivoire-construct;2024;total_bilan;964
15-mcc-cote-d-ivoire-construct;2024;tresorerie;281
225-petroleum;2021;autonomie_financiere;13.01
225-petroleum;2022;autonomie_financiere;9.34
225-petroleum;2023;autonomie_financiere;10.67
225-petroleum;2024;autonomie_financiere;10.78
225-petroleum;2021;ca;1818
225-petroleum;2022;ca;9136
225-petroleum;2023;ca;15340
225-petroleum;2024;ca;23616
225-petroleum;2021;capitaux_propres;141
225-petroleum;2022;capitaux_propres;180
225-petroleum;2023;capitaux_propres;261
225-petroleum;2024;capitaux_propres;393
225-petroleum;2021;charges_exploitation;1773
225-petroleum;2022;charges_exploitation;-523
225-petroleum;2023;charges_exploitation;-871
225-petroleum;2024;charges_exploitation;1341
225-petroleum;2022;croissance_ca;402.53
225-petroleum;2023;croissance_ca;67.91
225-petroleum;2024;croissance_ca;53.95
225-petroleum;2023;croissance_rn;107.69
225-petroleum;2024;croissance_rn;62.96
225-petroleum;2021;dette_nette;44
225-petroleum;2022;dette_nette;562
225-petroleum;2023;dette_nette;568
225-petroleum;2024;dette_nette;647
225-petroleum;2021;ebit;-5
225-petroleum;2022;ebit;67
225-petroleum;2023;ebit;140
225-petroleum;2024;ebit;190
225-petroleum;2021;ebitda;45
225-petroleum;2022;ebitda;149
225-petroleum;2023;ebitda;290
225-petroleum;2024;ebitda;364
225-petroleum;2021;levier_financier;0.98
225-petroleum;2022;levier_financier;3.77
225-petroleum;2023;levier_financier;1.96
225-petroleum;2024;levier_financier;1.78
225-petroleum;2021;marge_exploitation;-0.28
225-petroleum;2022;marge_exploitation;0.73
225-petroleum;2023;marge_exploitation;0.91
225-petroleum;2024;marge_exploitation;0.8
225-petroleum;2021;marge_nette;-0.77
225-petroleum;2022;marge_nette;0.43
225-petroleum;2023;marge_nette;0.53
225-petroleum;2024;marge_nette;0.56
225-petroleum;2021;ratio_endettement_net;31.21
225-petroleum;2022;ratio_endettement_net;312.22
225-petroleum;2023;ratio_endettement_net;217.62
225-petroleum;2024;ratio_endettement_net;164.63
225-petroleum;2021;resultat_net;-14
225-petroleum;2022;resultat_net;39
225-petroleum;2023;resultat_net;81
225-petroleum;2024;resultat_net;132
225-petroleum;2021;roa;-1.29
225-petroleum;2022;roa;2.02
225-petroleum;2023;roa;3.31
225-petroleum;2024;roa;3.62
225-petroleum;2021;roe;-9.93
225-petroleum;2022;roe;21.67
225-petroleum;2023;roe;31.03
225-petroleum;2024;roe;33.59
225-petroleum;2021;total_bilan;1084
225-petroleum;2022;total_bilan;1927
225-petroleum;2023;total_bilan;2445
225-petroleum;2024;total_bilan;3647
225-petroleum;2021;tresorerie;-43
225-petroleum;2022;tresorerie;105
225-petroleum;2023;tresorerie;-415
225-petroleum;2024;tresorerie;-244
2mgc;2022;autonomie_financiere;37.74
2mgc;2023;autonomie_financiere;35.14
2mgc;2021;ca;106
2mgc;2022;ca;85
2mgc;2023;ca;155
2mgc;2022;capitaux_propres;20
2mgc;2023;capitaux_propres;39
2mgc;2023;charges_exploitation;-96
2mgc;2022;croissance_ca;-19.81
2mgc;2023;croissance_ca;82.35
2mgc;2022;croissance_rn;-96.43
2mgc;2023;croissance_rn;1800
2mgc;2023;dette_nette;35
2mgc;2022;ebit;8
2mgc;2023;ebit;26
2mgc;2022;ebitda;20
2mgc;2022;marge_exploitation;9.41
2mgc;2023;marge_exploitation;16.77
2mgc;2021;marge_nette;26.42
2mgc;2022;marge_nette;1.18
2mgc;2023;marge_nette;12.26
2mgc;2023;ratio_endettement_net;89.74
2mgc;2021;resultat_net;28
2mgc;2022;resultat_net;1
2mgc;2023;resultat_net;19
2mgc;2022;roa;1.89
2mgc;2023;roa;17.12
2mgc;2022;roe;5
2mgc;2023;roe;48.72
