slug;nom;secteur;pays;pays_source;modele;annee_min;annee_max;nb_exercices;fichier
15-mcc-cote-d-ivoire-construct;15 MCC COTE D'IVOIRE CONSTRUCT;IMMOBILIER;CI;nom;societe;2021;2024;3;15 MCC COTE D'IVOIRE CONSTRUCT.xlsx
225-petroleum;225 PETROLEUM;BIENS DE CONSOMMATION;;;societe;2021;2024;4;225 PETROLEUM.xlsx
2mgc;2MGC;TRANSPORT - VOYAGES;;;societe;2021;2023;3;2MGC.xlsx
3k-import-export;3K IMPORT-EXPORT;BIENS DE CONSOMMATION;;;societe;2017;2023;5;3K IMPORT-EXPORT.xlsx
a-constant;A.CONSTANT;BIENS DE CONSOMMATION;;;societe;2020;2024;5;A.CONSTANT.xlsx
aa;AA;ASSURANCES;;;assurance;;;0;AA.xlsx
aaa-kpmg-ci;AAA-KPMG CI;SERVICES AUX COLLECTIVITES;CI;nom;societe;2017;2019;3;AAA-KPMG CI.xlsx
abasse-distribution-suarl;ABASSE DISTRIBUTION SUARL;DISTRIBUTION;SN;nom;societe;2020;2023;4;ABASSE DISTRIBUTION SUARL.xlsx
abdou-aziz-sow;ABDOU AZIZ SOW;SERVICES AUX COLLECTIVITES;;;societe;2020;2023;4;ABDOU AZIZ SOW.xlsx
abeille-beton-sa;ABEILLE BETON SA;IMMOBILIER;;;societe;2019;2024;5;ABEILLE BETON SA.xlsx
abeille-carriere;ABEILLE CARRIERE;MATIERES PREMIERES;;;societe;2019;2024;5;ABEILLE CARRIERE.xlsx
abi-plast-sarl;ABI-PLAST SARL;BIENS ET SERVICES INDUSTRIELS;;;societe;2020;2024;5;ABI-PLAST SARL.xlsx
abidjan-terminal;ABIDJAN TERMINAL;TRANSPORT - VOYAGES;CI;nom;societe;2020;2024;5;ABIDJAN TERMINAL.xlsx
absoft-work;ABSOFT WORK;TECHNOLOGIE;;;societe;2021;2024;4;ABSOFT WORK.xlsx
aca;ACA;BATIMENT ET MATERIAUX DE CONSTRUCTIONS;;;societe;2018;2020;3;ACA.xlsx
