country;quartier_alias;commune;quartier_pretty;region
# ============================================================================
# Mapping geographique : alias quartier brut -> commune + quartier propre.
# Une ligne par alias rencontre dans les CSV d'annonces. Plusieurs alias
# peuvent pointer vers la meme commune+quartier+region.
#
# Format :
#   country         : code ISO du pays (CI, SN, BJ, BF, ML, TG, NE)
#   quartier_alias  : valeur observee dans le CSV (forme normalisee : lower-
#                     case, accents/apostrophes retires apres normalizeQuartier)
#   commune         : commune canonique d'affichage (Cotonou, Cocody...)
#   quartier_pretty : libelle quartier pour le drill-down. Vide si l'alias
#                     est le centre-ville ou ne distingue pas de quartier.
#   region          : section geographique d'agregat (ex: ABIDJAN, LITTORAL EST).
#                     Vide = commune affichee a plat sans section.
#
# Lignes # = commentaires (ignorees). Fallback si pas de mapping :
# le quartier devient sa propre commune sans region.
# ============================================================================

# === BENIN ===
BJ;cotonou;Cotonou;;
BJ;fidjrosse;Cotonou;Fidjrosse;
BJ;fidjrosse plage;Cotonou;Fidjrosse Plage;
BJ;fidjrosse kpota;Cotonou;Fidjrosse Kpota;
BJ;cadjehoun;Cotonou;Cadjèhoun;
BJ;haie vive;Cotonou;Haie Vive;
BJ;akpakpa;Cotonou;Akpakpa;
BJ;vodje;Cotonou;Vodjè;
BJ;agla;Cotonou;Agla;
BJ;cocotomey;Cotonou;Cocotomey;
BJ;abomey-calavi;Abomey-Calavi;;
BJ;abomey calavi;Abomey-Calavi;;
BJ;calavi;Abomey-Calavi;Calavi centre;
BJ;calavi centre;Abomey-Calavi;Calavi centre;
BJ;calavi kpota;Abomey-Calavi;Calavi Kpota;
BJ;zopah;Abomey-Calavi;Zopah;
BJ;godomey;Abomey-Calavi;Godomey;
BJ;hevie;Abomey-Calavi;Hèvie;
BJ;tankpe;Abomey-Calavi;Tankpè;
BJ;abomey;Abomey;;
BJ;porto-novo;Porto-Novo;;
BJ;porto novo;Porto-Novo;;
BJ;parakou;Parakou;;
BJ;bohicon;Bohicon;;
BJ;ouidah;Ouidah;;
BJ;seme-podji;Sèmè-Podji;;
BJ;seme podji;Sèmè-Podji;;
BJ;allada;Allada;;

# === BURKINA FASO ===
BF;ouagadougou;Ouagadougou;;
BF;ouaga;Ouagadougou;;
BF;ouaga 2000;Ouagadougou;Ouaga 2000;
BF;ouaga2000;Ouagadougou;Ouaga 2000;
BF;zone du bois;Ouagadougou;Zone du Bois;
BF;patte d oie;Ouagadougou;Patte d'Oie;
BF;patte d'oie;Ouagadougou;Patte d'Oie;
BF;zogona;Ouagadougou;Zogona;
BF;gounghin;Ouagadougou;Gounghin;
BF;pissy;Ouagadougou;Pissy;
BF;cissin;Ouagadougou;Cissin;
BF;tampouy;Ouagadougou;Tampouy;
BF;tanghin;Ouagadougou;Tanghin;
BF;karpala;Ouagadougou;Karpala;
BF;dapoya;Ouagadougou;Dapoya;
BF;dassasgho;Ouagadougou;Dassasgho;
BF;wemtenga;Ouagadougou;Wemtenga;
BF;saaba;Ouagadougou;Saaba;
BF;cite an ii;Ouagadougou;Cité An II;
BF;cite an iii;Ouagadougou;Cité An III;
