country;country_label;source;transaction;type_bien;subcategory;titre;prix_fcfa;surface_m2;prix_m2_fcfa;chambres;quartier;sous_quartier;standing;url;scraped_at
ML;Mali;selogeraumali;location;appartement;appartements;Appartements bien équipés à louer à Aci 2000;1300000;;;;Aci 2000;;;https://selogeraumali.com/annonces-immobilieres/appartements-bien-equipes-a-louer-a-aci-2000/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;appartement;appartements;Appartement de 3 CHAMBRES non meublé à louer à l’ACI 2000;350000;;;3;ACI 2000;;;https://selogeraumali.com/annonces-immobilieres/appartement-de-3-chambres-non-meuble-a-louer-a-laci-2000-16/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;maison;maisons;Maison à louer à Kati Fouga 250 000 FCFA/mois;250000;;;2;Kati Fouga;;;https://selogeraumali.com/annonces-immobilieres/maison-a-louer-a-kati-fouga-250-000-fcfa-mois/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;immeuble;immeubles;Bâtiment à louer à l’aci 2000;1200000;;;15;ACI 2000;;;https://selogeraumali.com/annonces-immobilieres/batiment-a-louer-a-laci-2000/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;commercial;bureaux;Bureau à louer à l’ACI 2000;250000;;;;ACI 2000;;;https://selogeraumali.com/annonces-immobilieres/bureau-a-louer-a-laci-2000-8/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;villa;villas;Villa avec jardin à louer à Faso kanu;400000;;;3;Faso kanu;;;https://selogeraumali.com/annonces-immobilieres/villa-avec-jardin-a-louer-a-faso-kanu/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;villa;villas duplex;Duplex à louer à sébénikoro;350000;;;4;Sébénikoro;;;https://selogeraumali.com/annonces-immobilieres/duplex-a-louer-a-sebenikoro-10/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;villa;villas duplex;Duplex à louer à sébénikoro;450000;;;3;Sébénikoro;;;https://selogeraumali.com/annonces-immobilieres/duplex-a-louer-a-sebenikoro-9/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;commercial;bureaux;Bureau à louer à l’ACI 2000;200000;;;;ACI 2000;;;https://selogeraumali.com/annonces-immobilieres/bureau-a-louer-a-laci-2000-7/;2026-05-12T17:55:08+00:00
ML;Mali;selogeraumali;location;commercial;bureaux;Bureau à louer à l’ACI 2000;250000;;;;ACI 2000;;;https://selogeraumali.com/annonces-immobilieres/bureau-a-louer-a-laci-2000-6/;2026-05-12T17:55:08+00:00
