"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"28/05/2026","425,70","430,50","430,50","424,20","7,80K","-0,95%"
"27/05/2026","429,80","436,40","436,40","429,00","9,32K","-1,63%"
"26/05/2026","436,90","439,90","442,50","435,50","6,97K","-1,24%"
"22/05/2026","442,40","444,40","444,60","438,80","6,26K","-0,58%"
"21/05/2026","445,00","447,80","448,30","442,80","6,01K","0,91%"
"20/05/2026","441,00","440,70","450,00","438,30","8,73K","0,00%"
"19/05/2026","441,00","437,00","446,60","433,80","8,21K","1,03%"
"18/05/2026","436,50","440,00","441,70","432,60","8,12K","-0,46%"
"15/05/2026","438,50","443,30","445,10","436,00","7,31K","-0,99%"
"14/05/2026","442,90","455,00","455,90","441,30","12,37K","-2,74%"
"13/05/2026","455,40","442,20","455,80","442,20","9,75K","3,10%"
"12/05/2026","441,70","438,80","447,60","437,20","7,90K","1,01%"
"11/05/2026","437,30","433,20","439,10","429,20","10,10K","1,23%"
"08/05/2026","432,00","432,50","433,70","427,30","8,38K","0,02%"
"07/05/2026","431,90","436,60","441,40","426,80","11,84K","-1,21%"
"06/05/2026","437,20","449,00","450,30","432,50","16,33K","-3,32%"
"05/05/2026","452,20","452,80","457,70","449,90","14,45K","1,28%"
"01/05/2026","446,50","441,00","448,10","434,60","8,05K","1,73%"
"30/04/2026","438,90","444,80","448,50","437,90","11,57K","-1,33%"
"29/04/2026","444,80","433,80","446,40","433,60","11,63K","2,75%"
"28/04/2026","432,90","428,90","436,00","428,00","9,63K","1,36%"
"27/04/2026","427,10","435,60","439,00","426,70","11,52K","-1,88%"
"24/04/2026","435,30","428,20","435,90","428,00","11,14K","1,82%"
"23/04/2026","427,50","424,30","428,50","422,00","7,22K","0,90%"
"22/04/2026","423,70","424,00","427,00","420,50","8,27K","0,40%"
"21/04/2026","422,00","416,90","423,40","414,40","9,21K","1,05%"
"20/04/2026","417,60","414,90","419,30","409,00","12,64K","1,29%"
"17/04/2026","412,30","419,10","421,40","410,10","11,41K","-1,43%"
"16/04/2026","418,30","413,40","420,60","410,80","14,69K","-0,29%"
"15/04/2026","419,50","425,00","426,50","416,00","0,30K","-1,11%"
"14/04/2026","424,20","413,30","425,20","405,50","4,98K","3,16%"
"13/04/2026","411,20","415,00","418,00","410,40","7,22K","-0,27%"
"10/04/2026","412,30","414,10","421,20","411,10","10,03K","-0,31%"
"09/04/2026","413,60","423,60","424,50","413,10","6,33K","-2,06%"
"08/04/2026","422,30","422,70","428,70","419,40","7,86K","-1,49%"
"07/04/2026","428,70","435,20","435,90","428,00","10,29K","-1,61%"
"02/04/2026","435,70","443,40","448,60","435,00","7,43K","-1,45%"
"01/04/2026","442,10","444,40","447,00","436,40","13,39K","-1,43%"
"31/03/2026","448,50","447,00","454,80","445,30","14,32K","-0,84%"
"30/03/2026","452,30","460,30","467,80","450,70","13,68K","-1,37%"
"27/03/2026","458,60","459,20","460,50","452,90","11,48K","-0,22%"
"26/03/2026","459,60","456,60","462,60","450,40","10,53K","1,23%"
"25/03/2026","454,00","458,40","461,90","448,90","14,11K","-1,86%"
"24/03/2026","462,60","448,60","463,60","447,00","15,21K","3,10%"
"23/03/2026","448,70","451,20","453,50","445,40","14,96K","-0,60%"
"20/03/2026","451,40","449,70","454,90","448,00","19,48K","0,04%"
