"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"27/05/2026","220,20","201,50","221,50","201,50","0,03K","-0,86%"
"25/05/2026","222,10","223,10","224,90","220,00","0,52K","-0,45%"
"22/05/2026","223,10","221,30","224,80","220,90","0,55K","0,59%"
"21/05/2026","221,80","221,00","222,50","219,50","0,47K","0,45%"
"20/05/2026","220,80","223,00","224,00","220,00","0,56K","-0,54%"
"19/05/2026","222,00","223,60","225,70","219,20","0,87K","-0,72%"
"18/05/2026","223,60","222,60","224,00","220,50","0,42K","0,40%"
"15/05/2026","222,70","220,50","223,90","218,40","0,80K","0,63%"
"14/05/2026","221,30","222,30","222,30","218,50","1,35K","-0,45%"
"13/05/2026","222,30","231,80","231,90","222,00","1,51K","-4,02%"
"12/05/2026","231,60","221,90","232,10","221,50","1,59K","4,42%"
"11/05/2026","221,80","223,60","223,90","220,20","2,32K","-0,67%"
"08/05/2026","223,30","221,30","225,30","219,70","2,30K","3,24%"
"29/04/2026","216,30","212,00","216,50","212,00","0,09K","0,42%"
"28/04/2026","215,40","213,00","216,50","211,50","0,78K","-0,37%"
"27/04/2026","216,20","212,70","217,00","212,00","0,89K","1,65%"
"24/04/2026","212,70","209,70","213,00","209,50","0,55K","0,42%"
"23/04/2026","211,80","210,40","212,00","209,30","0,70K","1,05%"
"22/04/2026","209,60","208,40","212,00","208,40","0,99K","0,24%"
"21/04/2026","209,10","206,70","209,40","206,40","0,72K","1,16%"
"20/04/2026","206,70","203,90","207,20","203,80","0,80K","0,68%"
"17/04/2026","205,30","201,50","206,20","201,00","1,08K","2,14%"
"16/04/2026","201,00","201,80","201,80","199,00","1,54K","-1,18%"
"15/04/2026","203,40","203,40","204,00","202,10","0,83K","-0,05%"
"14/04/2026","203,50","203,00","204,20","201,40","1,15K","0,44%"
"13/04/2026","202,60","203,00","208,20","201,70","0,92K","0,00%"
"10/04/2026","202,60","203,00","203,50","199,00","0,99K","-0,20%"
"09/04/2026","203,00","205,70","208,10","201,90","1,80K","-1,31%"
"08/04/2026","205,70","206,00","206,60","203,00","0,81K","1,13%"
"30/03/2026","203,40","200,30","203,90","197,00","0,18K","1,40%"
"27/03/2026","200,60","201,20","203,40","195,00","0,23K","0,15%"
"26/03/2026","200,30","198,10","201,00","197,00","0,37K","1,26%"
"25/03/2026","197,80","197,00","198,70","195,70","0,46K","0,51%"
"24/03/2026","196,80","194,30","197,10","194,10","0,36K","1,65%"
"23/03/2026","193,60","189,40","194,20","188,70","0,52K","1,41%"
"20/03/2026","190,90","188,50","192,00","188,50","0,50K","0,85%"
"19/03/2026","189,30","187,50","190,10","174,20","0,51K","-0,53%"
"18/03/2026","190,30","191,70","191,70","188,50","0,73K","-0,99%"
"17/03/2026","192,20","195,20","195,20","190,80","0,65K","-1,74%"
"16/03/2026","195,60","196,00","196,80","194,70","0,58K","-0,25%"
"13/03/2026","196,10","195,60","196,50","194,80","0,91K","0,36%"
"12/03/2026","195,40","198,40","198,90","194,50","0,97K","-1,36%"
"11/03/2026","198,10","198,90","201,00","197,80","0,52K","-0,35%"
"10/03/2026","198,80","198,50","199,30","197,00","0,78K","0,30%"
"09/03/2026","198,20","197,30","200,60","195,00","1,00K","0,66%"
"06/03/2026","196,90","196,20","201,10","196,00","1,10K","-3,86%"
"26/02/2026","204,80","203,60","204,80","199,80","0,21K","0,15%"
"25/02/2026","204,50","208,00","208,80","202,00","0,30K","-0,34%"
"24/02/2026","205,20","199,40","208,00","199,40","0,38K","2,86%"
"23/02/2026","199,50","194,30","200,50","194,00","0,59K","2,36%"
"20/02/2026","194,90","193,50","195,40","193,00","0,28K","0,26%"
"19/02/2026","194,40","194,20","195,00","192,10","0,26K","0,88%"
"18/02/2026","192,70","191,90","193,90","191,90","0,34K","-0,10%"
"13/02/2026","192,90","192,90","194,10","191,80","0,05K","0,00%"
"12/02/2026","192,90","192,70","193,80","190,50","1,22K","0,21%"
"11/02/2026","192,50","193,30","194,10","192,30","0,76K","-0,21%"
"10/02/2026","192,90","191,50","194,00","191,40","0,70K","0,73%"
"09/02/2026","191,50","189,00","191,70","189,00","0,42K","0,79%"
"06/02/2026","190,00","188,40","190,50","187,00","0,70K","1,60%"
"29/01/2026","187,00","192,00","195,00","187,00","0,05K","-2,25%"
"28/01/2026","191,30","189,30","195,00","189,10","0,21K","1,00%"
"27/01/2026","189,40","188,00","191,50","185,80","0,35K","1,07%"
"26/01/2026","187,40","186,70","188,80","184,90","0,63K","1,13%"
"25/01/2026","185,30","185,80","186,40","185,00","0,63K","-0,27%"
"22/01/2026","185,80","185,00","185,90","184,20","0,80K","2,31%"
"21/01/2026","181,60","180,20","182,00","180,10","0,52K","0,44%"
"20/01/2026","180,80","179,20","181,30","179,00","0,33K","0,50%"
"19/01/2026","179,90","179,90","180,50","178,80","0,57K","-0,50%"
"18/01/2026","180,80","181,00","181,40","180,70","0,16K","-0,39%"
"15/01/2026","181,50","182,20","183,80","181,00","0,35K","-0,60%"
"14/01/2026","182,60","184,40","184,40","181,50","1,40K","-1,40%"
"13/01/2026","185,20","183,80","187,40","183,80","1,21K","0,93%"
"12/01/2026","183,50","182,80","185,40","182,50","0,67K","-0,86%"
"11/01/2026","185,10","181,60","185,30","181,60","1,41K","0,82%"
"08/01/2026","183,60","183,20","184,00","182,40","1,04K","2,06%"
"29/12/2025","179,90","182,50","183,30","179,90","0,46K","-1,80%"
"28/12/2025","183,20","182,90","184,70","182,50","0,33K","0,05%"
"25/12/2025","183,10","180,30","183,30","179,60","0,67K","1,84%"
"23/12/2025","179,80","177,80","180,20","177,60","0,61K","1,24%"
"22/12/2025","177,60","177,60","177,90","176,40","0,43K","0,74%"
