pays;dateReference;maturiteAnnees;maturiteLibelle;zeroCoupon;apresLissage;source;beta0;beta1;beta2;beta3;tau1;tau2;residuPb
Burkina Faso;2026-08-26;0.2500;3 mois;0.093900;0.099883;BAT;-0.08526405;0.22517455;-0.22070924;0.55333894;0.7700;3.0000;75.9
Burkina Faso;2026-08-26;0.5000;6 mois;0.085700;0.074610;BAT;-0.08526405;0.22517455;-0.22070924;0.55333894;0.7700;3.0000;75.9
Burkina Faso;2026-08-26;0.7500;9 mois;0.063400;0.059572;interpolé;-0.08526405;0.22517455;-0.22070924;0.55333894;0.7700;3.0000;75.9
Burkina Faso;2026-08-26;1.0000;1 an;0.041100;0.051543;BAT;-0.08526405;0.22517455;-0.22070924;0.55333894;0.7700;3.0000;75.9
Burkina Faso;2026-08-26;2.0000;2 ans;0.051646;0.052537;interpolé;-0.08526405;0.22517455;-0.22070924;0.55333894;0.7700;3.0000;75.9
Burkina Faso;2026-08-26;3.0000;3 ans;0.062191;0.066559;OAT;-0.08526405;0.22517455;-0.22070924;0.55333894;0.7700;3.0000;75.9
Burkina Faso;2026-08-26;4.0000;4 ans;0.095359;0.076566;OAT;-0.08526405;0.22517455;-0.22070924;0.55333894;0.7700;3.0000;75.9
Burkina Faso;2026-08-26;5.0000;5 ans;0.073211;0.080540;OAT;-0.08526405;0.22517455;-0.22070924;0.55333894;0.7700;3.0000;75.9
Burkina Faso;2026-08-26;6.0000;6 ans;0.074165;0.079740;OAT;-0.08526405;0.22517455;-0.22070924;0.55333894;0.7700;3.0000;75.9
Burkina Faso;2026-08-26;7.0000;7 ans;0.074442;0.075742;OAT;-0.08526405;0.22517455;-0.22070924;0.55333894;0.7700;3.0000;75.9
Burkina Faso;2026-08-26;8.0000;8 ans;0.068928;0.069809;interpolé;-0.08526405;0.22517455;-0.22070924;0.55333894;0.7700;3.0000;75.9
Burkina Faso;2026-08-26;9.0000;9 ans;0.063414;0.062834;interpolé;-0.08526405;0.22517455;-0.22070924;0.55333894;0.7700;3.0000;75.9
Burkina Faso;2026-08-26;10.0000;10 ans;0.057899;0.055420;OAT;-0.08526405;0.22517455;-0.22070924;0.55333894;0.7700;3.0000;75.9
Bénin;2026-08-13;0.2500;3 mois;0.030600;0.029215;BAT;0.11100242;-0.07062359;-0.12866452;-0.12422879;0.2000;3.0000;26.4
Bénin;2026-08-13;0.5000;6 mois;0.033900;0.039121;BAT;0.11100242;-0.07062359;-0.12866452;-0.12422879;0.2000;3.0000;26.4
Bénin;2026-08-13;0.7500;9 mois;0.048300;0.048967;interpolé;0.11100242;-0.07062359;-0.12866452;-0.12422879;0.2000;3.0000;26.4
Bénin;2026-08-13;1.0000;1 an;0.062700;0.055649;BAT;0.11100242;-0.07062359;-0.12866452;-0.12422879;0.2000;3.0000;26.4
Bénin;2026-08-13;2.0000;2 ans;0.063516;0.064190;interpolé;0.11100242;-0.07062359;-0.12866452;-0.12422879;0.2000;3.0000;26.4
Bénin;2026-08-13;3.0000;3 ans;0.064332;0.064890;OAT;0.11100242;-0.07062359;-0.12866452;-0.12422879;0.2000;3.0000;26.4
Bénin;2026-08-13;4.0000;4 ans;0.064936;0.065173;OAT;0.11100242;-0.07062359;-0.12866452;-0.12422879;0.2000;3.0000;26.4
Bénin;2026-08-13;5.0000;5 ans;0.067057;0.066036;OAT;0.11100242;-0.07062359;-0.12866452;-0.12422879;0.2000;3.0000;26.4
Bénin;2026-08-13;6.0000;6 ans;0.068556;0.067464;interpolé;0.11100242;-0.07062359;-0.12866452;-0.12422879;0.2000;3.0000;26.4
Bénin;2026-08-13;7.0000;7 ans;0.070056;0.069277;OAT;0.11100242;-0.07062359;-0.12866452;-0.12422879;0.2000;3.0000;26.4
Bénin;2026-08-13;8.0000;8 ans;0.071070;0.071303;interpolé;0.11100242;-0.07062359;-0.12866452;-0.12422879;0.2000;3.0000;26.4
Bénin;2026-08-13;9.0000;9 ans;0.072084;0.073411;interpolé;0.11100242;-0.07062359;-0.12866452;-0.12422879;0.2000;3.0000;26.4
Bénin;2026-08-13;10.0000;10 ans;0.073098;0.075509;OAT;0.11100242;-0.07062359;-0.12866452;-0.12422879;0.2000;3.0000;26.4
Côte d'Ivoire;2026-09-01;0.0833;1 mois;0.045100;0.050363;BAT;0.06415963;-0.01369588;-0.02952404;0.04988460;0.7600;3.0000;50.7
Côte d'Ivoire;2026-09-01;0.2500;3 mois;0.055000;0.050543;BAT;0.06415963;-0.01369588;-0.02952404;0.04988460;0.7600;3.0000;50.7
Côte d'Ivoire;2026-09-01;0.5000;6 mois;0.061800;0.051506;BAT;0.06415963;-0.01369588;-0.02952404;0.04988460;0.7600;3.0000;50.7
Côte d'Ivoire;2026-09-01;0.7500;9 mois;0.051200;0.052981;interpolé;0.06415963;-0.01369588;-0.02952404;0.04988460;0.7600;3.0000;50.7
Côte d'Ivoire;2026-09-01;1.0000;1 an;0.040600;0.054723;BAT;0.06415963;-0.01369588;-0.02952404;0.04988460;0.7600;3.0000;50.7
Côte d'Ivoire;2026-09-01;2.0000;2 ans;0.071392;0.061841;OAT;0.06415963;-0.01369588;-0.02952404;0.04988460;0.7600;3.0000;50.7
Côte d'Ivoire;2026-09-01;3.0000;3 ans;0.063439;0.067173;OAT;0.06415963;-0.01369588;-0.02952404;0.04988460;0.7600;3.0000;50.7
Côte d'Ivoire;2026-09-01;4.0000;4 ans;0.073886;0.070545;OAT;0.06415963;-0.01369588;-0.02952404;0.04988460;0.7600;3.0000;50.7
Côte d'Ivoire;2026-09-01;5.0000;5 ans;0.071067;0.072496;OAT;0.06415963;-0.01369588;-0.02952404;0.04988460;0.7600;3.0000;50.7
Côte d'Ivoire;2026-09-01;6.0000;6 ans;0.071715;0.073514;interpolé;0.06415963;-0.01369588;-0.02952404;0.04988460;0.7600;3.0000;50.7
Côte d'Ivoire;2026-09-01;7.0000;7 ans;0.072364;0.073939;OAT;0.06415963;-0.01369588;-0.02952404;0.04988460;0.7600;3.0000;50.7
