pays;titreES;instrument;precisions;dateOperation;montantM;etat;url
Burkina Faso;;;;2026-07-01;37000;réalisée;https://www.umoatitres.org/fr/emission/emission-simultanee-de-bons-et-dobligations-du-tresor-du-01-07-2026/
Côte d'Ivoire;;;;2026-06-30;80000;réalisée;https://www.umoatitres.org/fr/emission/emission-simultanee-de-bons-et-dobligations-du-tresor-de-la-cote-divoire-du-30-06-2026/
Guinée Bissau;;;;2026-06-29;15000;réalisée;https://www.umoatitres.org/fr/emission/emission-simultanee-de-bons-et-dobligations-du-tresor-de-la-guinee-bissau-du-29-06-2026/
Togo;;;;2026-06-26;30000;réalisée;https://www.umoatitres.org/fr/emission/emission-simultanee-de-bons-et-dobligations-du-tresor-du-togo-du-26-06-2026/
Mali;;;;2026-06-24;50000;réalisée;https://www.umoatitres.org/fr/emission/emission-simultanee-de-bons-et-dobligations-du-tresor-du-mali-du-24-06-2026/
Côte d'Ivoire;;;;2026-06-23;80000;réalisée;https://www.umoatitres.org/fr/emission/emission-simultanee-de-bons-et-dobligations-du-tresor-du-cote-divoire-du-23-06-2026/
Sénégal;;;;2026-06-19;60000;réalisée;https://www.umoatitres.org/fr/emission/emission-simultanee-de-bons-et-dobligations-du-tresor-du-senegal-du-19-06-2026/
Niger;;;;2026-06-18;55000;réalisée;https://www.umoatitres.org/fr/emission/emission-simultanee-de-bons-et-dobligations-du-tresor-du-niger-du-18-06-2026/
Burkina Faso;;;;2026-06-17;35000;réalisée;https://www.umoatitres.org/fr/emission/emission-simultanee-de-bons-et-dobligations-du-tresor-du-burkina-du-17-06-2026/
Côte d'Ivoire;;;;2026-06-16;200000;réalisée;https://www.umoatitres.org/fr/emission/emission-simultanee-de-bons-et-dobligations-du-tresor-de-la-cote-divoire-du-16-06-2026/
Togo;;;;2026-06-12;35000;réalisée;https://www.umoatitres.org/fr/emission/emission-simultanee-de-bons-et-dobligations-du-tresor-du-togo-du-12-06-2026/
Guinée Bissau;;;;2026-06-09;15000;réalisée;https://www.umoatitres.org/fr/emission/emission-simultanee-de-bons-et-dobligations-du-tresor-de-la-guinee-bissau-du-09-06-2026/
Sénégal;;;;2026-06-05;60000;réalisée;https://www.umoatitres.org/fr/emission/emission-simultanee-de-bons-et-dobligations-du-tresor-du-senegal-du-05-06-2026/
Niger;;;;2026-06-04;80000;réalisée;https://www.umoatitres.org/fr/emission/emission-simultanee-de-bons-et-dobligations-du-tresor-du-niger-du-04-06-2026/
